Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	907800.0	7884.161	985600.0	3261.9014	1000.0	1000.0	-15776.394	108913.89	106252.805	47591.098
2	907600.0	9951.884	920600.0	7989.9937	1000.0	1000.0	-91298.78	566489.44	568178.6	364399.1
3	948000.0	17731.326	909500.0	69775.71	1000.0	1000.0	-210912.25	2425217.0	2436705.0	1803154.6
4	896800.0	30155.596	713300.0	175367.08	1000.0	1000.0	-268390.16	2760448.0	2761219.2	2062140.0
5	845600.0	95210.5	913600.0	45830.56	1000.0	1000.0	-280888.12	2200403.5	2205344.2	1833639.5
6	937600.0	4586.938	911500.0	14263.59	1000.0	1000.0	-274829.97	1959469.9	1948763.8	1781792.8
7	915200.0	20556.264	940200.0	17028.21	1000.0	1000.0	-267565.12	1742643.2	1751246.9	1647758.2
8	922000.0	22662.744	933600.0	20867.2	1000.0	1000.0	-256033.25	1439886.2	1432717.4	1392148.9
9	909600.0	35114.668	886000.0	60733.848	1000.0	1000.0	-240389.45	1210503.4	1209201.5	1185579.2
10	905000.0	36016.66	932400.0	29796.643	1000.0	1000.0	-224674.81	935536.1	948547.0	1006762.6
11	934400.0	30617.64	952600.0	55335.703	1000.0	1000.0	-209007.3	678787.44	690314.3	771577.3
12	880800.0	92098.64	932100.0	16646.02	1000.0	1000.0	-216937.88	674487.7	677303.8	773940.5
13	897800.0	31581.008	907000.0	90109.93	1000.0	1000.0	-218459.83	601840.1	607609.56	691154.0
14	944800.0	19732.207	940800.0	8715.504	1000.0	1000.0	-205799.73	484311.66	487692.7	573969.5
15	931600.0	10928.861	901400.0	29055.807	1000.0	1000.0	-191691.34	396791.38	398528.03	495039.12
16	912800.0	61622.723	965200.0	14958.608	1000.0	1000.0	-181826.08	348751.94	346872.7	442802.38
17	943800.0	18659.047	935500.0	18757.664	1000.0	1000.0	-172223.95	340869.47	340076.62	428217.03
18	937000.0	28227.645	950400.0	16829.736	1000.0	1000.0	-163247.3	336336.12	340431.1	397649.9
19	922400.0	21822.924	921400.0	38058.375	1000.0	1000.0	-154283.19	292566.78	295824.66	347043.47
20	912800.0	23370.066	937500.0	16572.568	1000.0	1000.0	-146679.55	249200.67	250886.05	298576.7
21	910000.0	37799.473	895800.0	19813.127	1000.0	1000.0	-140372.53	218637.28	220628.3	265812.3
22	911000.0	49002.04	900300.0	72115.26	1000.0	1000.0	-134956.9	198292.7	199163.55	238883.94
23	935800.0	36531.63	845700.0	141619.94	1000.0	1000.0	-130111.38	179688.67	180303.25	218833.44
24	910400.0	47735.105	898100.0	83573.26	1000.0	1000.0	-125852.81	160664.81	162386.02	199190.22
25	873400.0	46124.18	835600.0	117035.21	1000.0	1000.0	-121844.586	144464.05	144803.94	174686.62
26	893600.0	61940.617	960400.0	52568.434	1000.0	1000.0	-118212.914	131337.88	131825.1	161409.4
27	918200.0	53986.664	890000.0	67305.28	1000.0	1000.0	-115108.07	122038.0	122941.836	147770.42
28	920400.0	61992.258	935200.0	36630.04	1000.0	1000.0	-112192.125	110673.945	111908.875	133585.12
29	910200.0	21198.113	931700.0	21345.023	1000.0	1000.0	-109537.82	104117.73	104070.03	125775.59
