Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	911200.0	14496.896	979800.0	6630.234	1000.0	1000.0	-15917.369	79716.69	80282.65	30733.297
2	918000.0	8532.292	924300.0	24153.883	1000.0	1000.0	-67696.016	279616.78	284818.9	165689.47
3	920600.0	30793.506	961700.0	8695.401	1000.0	1000.0	-134664.17	981397.0	983833.8	650437.9
4	962400.0	7088.018	907400.0	30990.967	1000.0	1000.0	-175282.52	1662046.2	1653659.6	1110161.2
5	939600.0	13200.0	957900.0	18933.832	1000.0	1000.0	-194459.78	1542375.2	1523045.1	1145927.2
6	961800.0	8280.097	947100.0	45322.07	1000.0	1000.0	-200349.0	1368872.1	1358310.4	1107314.2
7	912000.0	43826.934	962600.0	13024.592	1000.0	1000.0	-201599.97	1137730.4	1133541.4	1032057.06
8	932000.0	48653.88	899400.0	57184.26	1000.0	1000.0	-197088.44	955162.44	964555.9	929601.56
9	940200.0	30439.447	965900.0	24492.652	1000.0	1000.0	-189991.92	824163.0	827512.94	820299.5
10	952000.0	20029.977	936400.0	35575.836	1000.0	1000.0	-184720.33	747372.9	761412.06	782024.0
11	910000.0	64339.723	946100.0	21897.26	1000.0	1000.0	-180121.53	681380.25	687601.2	730418.5
12	922000.0	36921.54	928200.0	24903.012	1000.0	1000.0	-174667.72	596713.4	597526.44	621793.7
13	890000.0	55576.977	944400.0	42074.22	1000.0	1000.0	-167834.94	513624.88	508722.03	535922.5
14	943800.0	24326.117	952300.0	34339.63	1000.0	1000.0	-162226.55	448748.6	451311.22	483054.7
15	928800.0	28930.262	963000.0	13137.731	1000.0	1000.0	-156178.94	410240.5	409916.8	459642.94
16	946400.0	32469.06	946400.0	19693.652	1000.0	1000.0	-149984.53	348311.53	346316.84	387628.97
17	955400.0	28047.104	946600.0	27030.354	1000.0	1000.0	-144079.42	290390.53	290327.94	329369.75
18	932200.0	33546.387	951100.0	49233.016	1000.0	1000.0	-139383.14	245746.73	244264.81	293557.47
19	962800.0	15471.264	978400.0	11324.311	1000.0	1000.0	-134168.25	205537.05	206589.12	256624.28
