Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-2157.5112	38.38083	-2104.7134	-2224.6155	1000.0	-0.044735864	0.9020973	2.121966	-2.083517	5000	0.20103316	39767.902	-0.022018418	-5366.949	8.475804	1.0411978	17.34654140472412
1	-2018.3981	59.925602	-1947.3898	-2117.471	1000.0	-14.280378	0.5614222	-10.407899	-14.9400015	10000	0.085184656	30287.133	-0.01789321	-2399.6445	8.378476	1.0158656	26.10303258895874
2	-1971.2986	65.522705	-1906.9479	-2085.501	1000.0	-21.562725	0.100390956	-20.047169	-21.637703	15000	0.016230844	26240.094	-0.012454623	-1745.9395	8.309384	0.9870461	34.388495445251465
3	-1929.624	96.97489	-1845.993	-2100.0251	1000.0	-27.243166	0.049445577	-26.438473	-27.278528	20000	0.10383055	22838.916	-0.0099560395	-1470.2754	8.358619	1.0051175	42.778780937194824
4	-1797.4537	69.6377	-1700.619	-1904.698	1000.0	-32.418	0.031075524	-31.881596	-32.43986	25000	0.095243424	18157.756	-0.01059331	-1208.8438	8.381691	1.034389	51.29094672203064
5	-1810.115	50.044712	-1747.6859	-1869.771	1000.0	-37.154858	0.0235984	-36.61367	-37.169712	30000	0.1151023	17099.473	-0.010773785	-1140.2793	8.376987	0.9728086	59.89951539039612
6	-1687.4031	50.370174	-1613.4431	-1736.8064	1000.0	-41.792484	0.018487638	-41.35883	-41.803497	35000	-0.102252916	13856.147	-0.008347027	-939.2207	8.307441	0.925345	68.21133399009705
7	-1662.956	84.64765	-1590.2025	-1815.3728	1000.0	-46.08167	0.015723849	-45.753193	-46.090565	40000	0.13500561	12089.113	-0.008935049	-825.7656	8.341719	0.9803707	76.85919880867004
8	-1577.3999	56.27642	-1497.4885	-1631.8374	1000.0	-50.163662	0.012709978	-49.902454	-50.17132	45000	0.06312033	9714.546	-0.009399027	-693.6084	8.428498	0.9908033	85.61717295646667
9	-1523.8533	81.123856	-1410.8759	-1652.5201	1000.0	-53.98085	0.011455972	-53.743023	-53.987267	50000	0.052011803	7881.1504	-0.00814249	-571.3169	8.294709	0.9202237	94.10753893852234
10	-1515.5597	99.69793	-1386.552	-1691.6847	1000.0	-57.516644	0.01068958	-57.26583	-57.522747	55000	0.020957135	7200.6846	-0.007226536	-523.4502	8.306972	0.9216666	103.00503754615784
11	-1401.9943	47.846584	-1340.9719	-1476.9166	1000.0	-60.959656	0.010974448	-60.683758	-60.965015	60000	0.05466398	5150.0635	-0.0077058487	-395.02734	8.360579	0.98602206	111.42707371711731
12	-1390.794	83.23299	-1241.3099	-1487.0857	1000.0	-64.033485	0.010552466	-63.713898	-64.038536	65000	0.063163824	4608.698	-0.006586436	-341.40234	8.326925	0.9463324	119.85303783416748
13	-1378.4812	93.65248	-1218.9814	-1492.8	1000.0	-66.9416	0.008123323	-66.69195	-66.94591	70000	-0.048210084	4237.5522	-0.0063286237	-319.37378	8.302521	0.90068084	128.250235080719
14	-1368.1349	55.711903	-1269.8657	-1440.4348	1000.0	-69.80902	0.008843872	-69.52508	-69.81308	75000	-0.09356123	3717.611	-0.004310988	-282.19385	8.338222	0.94508946	136.89399671554565
15	-1345.6367	74.065956	-1219.762	-1428.7372	1000.0	-72.56715	0.0070631676	-72.40785	-72.57092	80000	0.08947312	3311.416	-0.005188592	-247.08398	8.193214	0.8185787	145.39466214179993
16	-1281.6821	35.791656	-1237.3601	-1341.156	1000.0	-75.20312	0.007616252	-74.932	-75.20687	85000	0.08505065	2393.709	-0.005708292	-176.60254	8.151751	0.7936187	153.99290871620178
17	-1260.1049	48.24058	-1191.5022	-1337.4634	1000.0	-77.495834	0.007012901	-77.31372	-77.49914	90000	0.018777484	2158.8584	-0.0053717634	-149.76501	8.220931	0.8240877	162.97849035263062
18	-1215.0477	48.370663	-1158.6805	-1272.1255	1000.0	-79.64145	0.0072964896	-79.43377	-79.64471	95000	0.009922668	1678.2186	-0.0030808714	-111.409424	8.247365	0.8966834	171.3377149105072
19	-1228.74	83.5214	-1144.7245	-1383.9481	1000.0	-81.5425	0.0073994277	-81.33481	-81.54568	100000	-0.054964565	1592.4824	-0.003673289	-107.394775	8.238081	0.8024491	179.67161560058594
20	-1170.3248	64.72753	-1098.85	-1269.1355	1000.0	-83.43549	0.006414907	-83.18877	-83.438446	105000	-0.009353705	1216.0103	-0.003907048	-65.88208	8.318357	0.906609	188.6178605556488
21	-1150.7808	76.13466	-1032.1406	-1266.4266	1000.0	-84.97466	0.006585168	-84.83087	-84.97766	110000	0.00077037734	1050.4213	-0.005377719	-48.37628	8.215326	0.8439551	197.03030133247375
22	-1125.738	74.85535	-1042.5371	-1253.4939	1000.0	-86.31426	0.0065604877	-86.15999	-86.31728	115000	-0.033212792	863.302	-0.0036485195	-30.456055	8.14825	0.77684647	205.3502163887024
23	-1143.7712	53.21012	-1076.3184	-1206.6245	1000.0	-87.40813	0.0064949575	-87.228615	-87.41102	120000	-0.001544345	877.761	-0.0033057663	-26.957092	8.202633	0.8143425	213.82019567489624
24	-1097.051	62.13615	-1012.9872	-1197.523	1000.0	-88.44895	0.0098202955	-87.92947	-88.45184	125000	0.033363935	744.5955	-0.004122101	-19.142395	8.275569	0.86864483	222.07115364074707
25	-1107.7805	32.46999	-1056.1304	-1142.0531	1000.0	-89.35297	0.0064046127	-89.18702	-89.35588	130000	-0.10336129	686.2407	-0.004056148	-10.368103	8.243752	0.82704914	230.31672477722168
26	-1051.5394	51.931305	-965.3975	-1124.4991	1000.0	-90.03974	0.0054286	-89.90702	-90.04255	135000	0.0356908	580.1902	-0.0019772276	-2.8706055	8.194208	0.83839387	238.59423804283142
27	-1021.5581	46.661865	-965.91583	-1097.1992	1000.0	-90.42015	0.005197397	-90.30374	-90.42285	140000	0.059522048	550.8983	-0.00314416	-1.1292114	8.186822	0.827717	246.82437348365784
28	-991.8468	58.84421	-920.72577	-1069.9125	1000.0	-90.65955	0.005878574	-90.48448	-90.66204	145000	-0.13309698	484.74744	-0.0022118539	-0.06304932	8.159027	0.78528863	255.13254308700562
