Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13926771.0	4928.1626	13942648.0	272.7022	1000.0	1000.0	-389744.5	137117260.0	133584790.0	48981550.0
2	13927723.0	7465.2676	13668181.0	413332.78	1000.0	1000.0	-2880170.2	1586477700.0	1545698300.0	394047100.0
3	13748806.0	355029.72	13939683.0	3067.1035	1000.0	1000.0	-4779187.5	1485403100.0	1452691300.0	243819620.0
4	13931677.0	8062.5234	13841950.0	236849.03	1000.0	1000.0	-4550478.5	521682800.0	516144770.0	116921864.0
5	7710157.0	6200987.0	7618579.0	6306861.0	557.25	548.1	-4236821.5	707359300.0	707454800.0	147337000.0
6	7888717.5	6746639.0	11284714.0	5265347.5	566.6667	810.9	-3896084.0	1620124200.0	1621768700.0	123124210.0
7	9956863.0	6063943.0	12597141.0	3994590.0	722.0	904.4	-3613831.8	1854383200.0	1858413200.0	97716260.0
8	13922050.0	13670.071	11234749.0	5387682.0	1000.0	806.6	-3248788.8	1419116700.0	1423070800.0	81233210.0
9	11756459.0	4846530.0	12697031.0	3688601.2	844.3333	911.7	-3051961.2	1011663700.0	1013480770.0	86601080.0
10	7755425.0	5757449.5	7608598.5	6476755.5	557.1111	546.1	-2818335.8	936320450.0	938769200.0	79010090.0
11	13932325.0	2330.0488	11277209.0	5310655.0	1000.0	809.5	-2585251.8	903579500.0	904999550.0	80727230.0
12	10061730.0	6112803.0	9975248.0	5157417.5	722.4286	715.9	-2397442.0	786502400.0	788676350.0	72270340.0
13	11977419.0	2826131.2	10823727.0	5194677.0	860.0	777.0	-2246648.5	727439000.0	729102200.0	62238316.0
14	13933494.0	7242.2646	9978456.0	5676856.0	1000.0	716.5	-2107466.2	690744060.0	692002200.0	56632240.0
15	10098722.0	6062742.5	12561401.0	4112781.5	724.8571	901.6	-1980345.0	494310270.0	495042400.0	48109330.0
16	12533739.0	3118611.8	10701425.0	5208462.0	899.8333	768.0	-1872829.0	458377150.0	458833340.0	48212148.0
17	13930563.0	9980.3955	13132950.0	2395561.2	1000.0	942.7	-1786882.5	431269980.0	431933120.0	44791890.0
18	13924386.0	15078.221	11479310.0	4904438.0	1000.0	824.0	-1719229.6	386831330.0	387102100.0	42214070.0
19	13758758.0	257228.88	13933586.0	7981.159	1000.0	1000.0	-1660848.1	354251400.0	354560670.0	37200204.0
20	12557235.0	3081218.2	13325880.0	1301413.0	901.1667	956.2	-1611647.6	271157600.0	271432670.0	34245256.0
21	9671992.0	6023856.0	11253906.0	5346230.5	694.3333	808.1	-1574146.1	293140350.0	293214430.0	35823824.0
22	9636372.0	5722098.0	9829590.0	5868134.5	691.75	705.5	-1541379.1	293315260.0	293241300.0	36782096.0
23	12979827.0	1621980.9	11417477.0	4828634.0	940.2	826.7	-1514120.2	310914140.0	310812450.0	32185972.0
24	11721951.0	4924630.0	11381516.0	5119127.5	841.8333	816.7	-1496093.0	298084450.0	298063600.0	34570932.0
25	11644757.0	5114177.5	13890013.0	129597.7	835.8333	1000.0	-1482559.4	235092420.0	235014320.0	31081330.0
26	9692456.0	5551376.0	11218654.0	5421404.5	697.625	805.4	-1469688.4	274574800.0	274562180.0	32515368.0
27	9382291.0	5799487.5	11440262.0	4489523.5	695.5	821.4	-1461693.9	265071220.0	265063420.0	27985466.0
28	10194009.0	5917193.5	11275325.0	5286407.0	731.5714	810.2	-1452406.8	287114850.0	287063840.0	32396530.0
29	10220697.0	5874539.0	8697736.0	6263746.5	733.4286	629.7	-1440978.9	280845200.0	280526080.0	31619850.0
