Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-915.3436	54.84127	-826.3448	-997.6904	1000.0	-81.36854	0.57225585	-54.03385	-81.411964	155000	0.05877742	617.2487	-0.004619535	-20.4906	9.050619	1.6029252	263.67962861061096
31	-859.91016	21.200571	-821.5521	-885.2938	1000.0	-80.58385	4.3619685	7.5090227	-81.487816	160000	0.06432165	509.69965	-0.00401647	-53.5524	8.9787445	1.5167438	271.814341545105
32	-799.9474	60.395718	-725.32117	-894.92	1000.0	-78.59944	5.869286	3.6021342	-81.18499	165000	0.04552081	540.4307	-0.0028997771	-94.421234	8.960647	1.5695179	279.9570908546448
33	-800.3453	61.85892	-728.4411	-884.246	1000.0	-73.362656	4.1117473	1.80379	-79.86342	170000	0.07079922	450.44135	-0.003714338	-35.61151	8.953771	1.5300932	288.0904779434204
34	-789.74335	64.51398	-715.773	-910.5319	1000.0	-72.55235	5.8998203	33.16773	-79.651405	175000	0.121333264	398.40277	-0.00214044	-52.404022	8.847033	1.4437083	295.71038484573364
35	-812.02313	68.60417	-689.47437	-893.66455	1000.0	-71.934715	4.244375	-15.499666	-80.50545	180000	0.170248	439.18726	-0.0027896315	-43.686005	8.874728	1.5026782	303.7165253162384
36	-807.34485	92.31564	-663.4722	-917.41406	1000.0	-72.28914	4.0149474	22.213362	-80.35929	185000	0.08439391	574.6134	-0.002115637	-82.7659	8.961481	1.5554873	311.8020136356354
37	-821.16	40.104443	-764.64514	-855.78906	1000.0	-68.52305	8.460103	4.8446865	-80.97319	190000	0.085020505	447.3241	-0.0030114576	-99.81961	8.907033	1.4937162	320.20381259918213
38	-811.00995	64.684586	-755.6158	-931.94	1000.0	-73.196526	3.9188933	-20.322662	-81.04529	195000	0.11734934	439.287	-0.002519481	-44.159546	9.037669	1.6040928	328.92046189308167
39	-829.6553	26.30286	-794.2578	-874.53564	1000.0	-71.39427	4.828511	-11.520203	-81.13873	200000	0.14689039	387.0919	-0.0039492697	-45.509583	8.927155	1.4715698	337.1264386177063
40	-747.8319	77.365746	-628.4427	-868.06494	1000.0	-73.02223	5.3415446	-18.30013	-81.37344	205000	0.06561831	415.94934	-0.0034600683	-88.62323	8.946456	1.520582	345.78011298179626
41	-743.9583	52.270885	-659.4918	-793.1639	1000.0	-66.51727	6.1246862	7.405795	-81.31674	210000	0.114276245	376.37405	-0.0017989874	-105.12482	8.921389	1.4954156	353.9822430610657
42	-752.9353	45.59431	-678.06726	-812.43317	1000.0	-66.24689	10.037547	32.080727	-81.38075	215000	0.060624067	467.5357	-0.0038656443	-128.95944	8.875375	1.450207	362.2159333229065
