Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	902200.0	9130.17	562300.0	53964.895	1000.0	1000.0	-15501.529	74557.71	74369.72	26599.72
2	915000.0	14926.486	879900.0	25571.271	1000.0	1000.0	-55877.195	279260.56	272993.5	155084.28
3	899600.0	41335.7	931100.0	58893.887	1000.0	1000.0	-111370.41	694830.3	685653.94	489656.94
4	951600.0	22276.443	936400.0	55914.58	1000.0	1000.0	-150117.7	991781.25	1000175.8	856943.8
5	949400.0	15692.036	927100.0	8949.302	1000.0	1000.0	-167395.5	874936.75	887446.1	885673.75
6	950800.0	12056.533	962900.0	11326.518	1000.0	1000.0	-175801.03	755920.5	753890.75	839459.0
7	928200.0	56382.27	919200.0	32282.502	1000.0	1000.0	-174274.16	757608.06	755327.5	856691.2
8	936600.0	37425.125	916000.0	43879.383	1000.0	1000.0	-170070.81	609646.3	612091.6	726976.3
9	849600.0	134239.48	757600.0	131351.6	1000.0	1000.0	-162026.06	463222.72	466760.8	590278.75
10	849400.0	91942.59	769100.0	173460.34	1000.0	1000.0	-156466.94	384921.4	385635.44	512081.78
11	916400.0	97988.98	753600.0	177288.02	1000.0	1000.0	-158920.31	369426.94	365692.16	485088.16
12	808200.0	143680.75	950400.0	28893.598	1000.0	1000.0	-157460.02	324053.53	323758.78	427324.25
13	891200.0	75210.11	915600.0	18067.65	1000.0	1000.0	-152211.36	276269.0	276631.2	373941.0
14	947400.0	25287.15	907500.0	102067.875	1000.0	1000.0	-146460.4	228224.45	228277.77	319511.72
15	736600.0	142668.28	849500.0	154736.06	1000.0	1000.0	-142099.08	202465.08	203635.6	281930.5
16	842200.0	127443.164	757600.0	134157.52	1000.0	1000.0	-137839.19	179892.75	183327.78	250152.89
17	722600.0	95692.42	842600.0	118906.01	1000.0	1000.0	-132771.73	166174.67	167913.3	230542.19
18	949800.0	11720.068	831800.0	142885.12	1000.0	1000.0	-127348.79	147942.69	149065.97	198837.7
19	889000.0	133576.95	883300.0	85202.17	1000.0	1000.0	-122447.26	133757.67	134270.64	181140.89
