Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	476.5821	69.17297	596.57416	396.6617	455.925	162.51852	725.2756	253.33052	1000.0	1000.0	160000	118.78498	32.112217	201.43188	71.5443	-119.741615	3.0670877	1156.455599308014
33	322.0583	168.07898	568.2895	128.04593	397.72244	175.05699	579.71124	55.101997	1000.0	1000.0	165000	118.90335	32.86119	204.07695	73.133446	-119.85822	3.2639816	1196.1116337776184
34	265.62646	170.7444	535.43243	51.490517	635.1454	214.99153	939.4805	126.669106	864.4	1000.0	170000	118.91767	33.008224	211.12863	68.92201	-119.86952	3.1411252	1233.868353843689
35	466.566	253.69817	944.01465	222.45828	469.22144	196.75543	756.0829	100.408295	1000.0	1000.0	175000	118.8304	33.31645	212.8701	72.16488	-119.767	3.339057	1273.692528963089
36	531.08954	124.740074	744.88806	394.05127	598.4818	90.16315	782.1286	485.90564	1000.0	1000.0	180000	118.93679	33.76975	209.64278	64.29425	-119.8806	3.348	1313.146593093872
37	622.6578	33.46576	684.509	584.1618	678.1168	171.29881	959.16296	520.19617	1000.0	1000.0	185000	119.14414	33.776012	211.56883	52.993736	-120.1093	3.480921	1353.2348091602325
38	597.406	63.729065	710.24445	523.7892	479.056	126.72009	686.8049	222.37567	1000.0	1000.0	190000	119.84293	33.89507	211.97467	52.77909	-120.7968	3.523044	1393.4923593997955
39	618.89343	315.45007	1089.2223	197.62338	698.3084	120.55945	965.56537	556.83844	1000.0	1000.0	195000	120.50332	33.836044	211.94492	63.993553	-121.4474	3.4090102	1433.792775630951
40	456.81772	295.739	1006.5433	171.86414	427.70844	159.90544	654.35284	231.44534	1000.0	1000.0	200000	121.44042	33.865005	211.27429	46.13535	-122.39045	3.3765874	1474.0271410942078
41	436.89966	303.58954	963.0599	18.636189	449.27628	263.8998	778.63385	-56.993744	1000.0	1000.0	205000	121.783966	33.827106	210.91736	62.3108	-122.73185	3.3697696	1514.3238496780396
42	530.76337	241.42757	810.3988	86.68918	781.7514	129.72124	1136.2767	630.50256	1000.0	1000.0	210000	122.135956	33.306618	208.3949	44.24478	-123.098	3.4390628	1554.1703305244446
43	627.4384	142.59769	823.48	452.68088	773.3627	111.02415	971.9306	623.38135	1000.0	1000.0	215000	122.63573	32.97466	209.84766	54.284546	-123.60352	3.4426856	1594.3746440410614
44	694.1373	89.81245	829.059	566.2513	820.76337	249.89825	1131.8837	313.25208	1000.0	1000.0	220000	123.33413	32.489693	208.09769	41.347412	-124.30064	3.4090421	1634.4884960651398
45	760.1472	128.10754	970.25653	581.18024	312.39642	248.10121	696.42584	-293.55365	1000.0	1000.0	225000	124.048195	32.1117	207.181	39.32711	-125.0032	3.3383687	1674.666472196579
46	634.8921	119.81236	750.16187	474.66525	715.75183	67.425934	794.75604	541.9833	1000.0	1000.0	230000	124.7808	31.851696	210.79674	56.296	-125.77685	3.54665	1715.689117193222
47	645.4904	151.48282	832.09174	372.86542	581.3063	366.83618	843.5996	-322.53046	1000.0	907.2	235000	125.907394	32.55071	213.93083	75.35945	-126.87772	3.5817485	1755.480197429657
48	657.53534	111.02615	813.25104	498.5452	709.1493	236.4056	1179.0016	308.39612	1000.0	1000.0	240000	125.82375	32.83853	212.5172	67.777054	-126.75952	3.7797601	1796.0164649486542
49	607.80286	158.90486	761.81665	302.53043	765.1415	145.53645	1026.6698	561.3626	1000.0	1000.0	245000	125.91013	33.22034	213.83344	56.62252	-126.85535	3.690355	1836.6827244758606
50	667.7725	133.27895	846.0763	437.86557	683.4103	180.61444	840.9272	188.09802	1000.0	1000.0	250000	126.00951	33.22418	216.41034	40.75885	-126.94025	3.7097902	1877.078962802887
51	534.54156	249.99234	870.6301	176.4809	466.41788	607.9765	770.80164	-1342.7136	864.3333	1000.0	255000	126.11524	33.03393	213.1009	56.985966	-127.059875	3.7325602	1918.1225373744965
52	590.5296	119.06912	729.8478	431.45746	314.33246	187.33647	585.18207	46.320156	1000.0	1000.0	260000	126.11752	33.19429	212.57549	54.85105	-127.03245	3.793032	1959.184133529663
53	480.57574	125.61476	580.18536	249.71611	559.3115	191.44878	841.80414	183.3894	1000.0	1000.0	265000	125.879944	33.532272	216.3141	58.48959	-126.7884	4.0214353	2000.3932678699493
54	507.64386	112.48915	620.24036	299.26453	474.80405	221.36539	877.90247	221.68208	1000.0	1000.0	270000	125.68978	33.617706	214.5186	45.71115	-126.6216	4.0257726	2041.6059982776642
55	582.73596	155.404	821.23883	406.23773	535.0766	125.88068	675.45746	313.7873	1000.0	1000.0	275000	125.25836	33.782272	219.88507	44.77225	-126.14323	3.849241	2083.4752984046936
56	323.47778	121.09204	488.56644	178.85384	438.0876	78.85566	517.01874	279.36923	1000.0	1000.0	280000	124.409	34.756195	215.89908	34.132023	-125.29025	4.0886116	2124.2702329158783
57	199.29868	210.24634	439.85364	-131.61111	486.53238	191.87508	760.63184	85.69825	1000.0	1000.0	285000	123.37131	35.888763	219.82697	66.32083	-124.24446	4.13583	2165.1646842956543
58	449.65985	108.80614	578.62	261.65015	153.1145	304.93118	528.5923	-348.95895	1000.0	1000.0	290000	122.598465	36.93337	221.70988	44.645126	-123.49495	4.299379	2204.8952600955963
59	303.2437	227.40628	521.67993	-5.7969213	257.84738	270.76	657.9216	-158.70131	1000.0	1000.0	295000	122.148674	37.187428	222.39034	54.323196	-123.04675	4.3671274	2244.455557823181
60	514.0115	64.73017	616.1552	431.99283	204.65474	164.5857	441.50406	-55.822746	1000.0	1000.0	300000	122.676186	37.41479	222.93106	48.838856	-123.63522	4.3612256	2284.1485719680786
61	413.57587	175.36192	696.886	219.06949	107.2292	757.7952	517.8686	-2134.1292	1000.0	1000.0	305000	124.03075	37.230507	225.53925	63.72956	-125.00015	4.38185	2322.932858943939
62	39.51207	712.8982	717.32416	-1322.3844	83.009964	337.69217	548.661	-556.39764	1000.0	1000.0	310000	124.67371	37.25722	225.29622	44.223515	-125.61302	4.5963697	2363.333122730255
63	332.27463	157.49295	498.32703	74.90367	61.499767	301.71567	561.9609	-421.38943	1000.0	1000.0	315000	124.84132	37.48021	227.46753	44.947186	-125.78015	4.540086	2403.029640197754
