Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	920600.0	10928.861	978900.0	7286.288	1000.0	1000.0	-13626.922	64664.15	64501.953	23225.549
2	917000.0	5176.8716	996400.0	4882.622	1000.0	1000.0	-56418.297	283138.12	279304.4	167204.19
3	955400.0	24605.69	938100.0	21314.08	1000.0	1000.0	-124849.19	1099400.0	1085759.0	751071.8
4	922200.0	26339.324	922800.0	36322.996	1000.0	1000.0	-175303.19	1264688.0	1268360.2	1017564.56
5	929600.0	27104.244	943000.0	19549.936	1000.0	1000.0	-206214.27	1123929.8	1119076.0	1106508.1
6	944400.0	11791.522	969000.0	8037.4126	1000.0	1000.0	-217799.78	1078163.0	1069309.1	1142433.9
7	933800.0	33426.934	865500.0	26706.738	1000.0	1000.0	-219721.11	943456.44	936676.94	1098456.8
8	898000.0	56128.426	951600.0	28267.293	1000.0	1000.0	-216475.9	826402.2	807293.1	950110.1
9	925800.0	42234.586	954600.0	16590.36	1000.0	1000.0	-211351.66	790891.8	768294.56	908288.44
10	959800.0	21994.545	959900.0	12493.599	1000.0	1000.0	-203254.12	684139.25	667542.2	827311.1
11	948200.0	23241.342	950900.0	23687.34	1000.0	1000.0	-191899.8	564126.0	550030.9	694538.1
12	923400.0	64357.13	946600.0	46654.477	1000.0	1000.0	-180671.36	475204.6	462371.94	593807.75
13	908000.0	47265.207	935700.0	15582.362	1000.0	1000.0	-171112.67	391975.1	384762.53	494029.66
14	953000.0	8049.8447	938300.0	36894.58	1000.0	1000.0	-162453.4	330708.2	325661.12	428899.9
15	919400.0	66542.016	944800.0	45604.387	1000.0	1000.0	-153808.23	268819.66	262614.88	360315.4
16	930000.0	50919.547	928500.0	25350.543	1000.0	1000.0	-146226.45	223408.75	218105.62	308049.16
17	962200.0	18712.562	927200.0	47459.035	1000.0	1000.0	-140108.25	201997.66	195849.45	283211.38
18	957800.0	27563.744	954800.0	37655.81	1000.0	1000.0	-134201.12	184308.34	177577.27	251500.9
19	947000.0	16745.148	946000.0	32394.443	1000.0	1000.0	-128822.58	173223.19	166225.23	238457.58
