Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4683.2354	43.48086	4777.7515	4630.14	4187.5674	3.974176	4195.854	4182.7876	1000.0	1000.0	10000	129.17198	60.754097	452.57492	-218.99667	-130.21286	15.872154	67.46231722831726
2	4334.04	124.884476	4708.137	4278.5923	4186.284	4.7228475	4198.3413	4182.447	1000.0	1000.0	20000	278.40137	35.05986	504.16983	48.993027	-278.95663	8.475899	155.78637051582336
3	4376.719	168.34299	4713.0483	4274.4673	4187.033	3.8003953	4193.822	4181.641	1000.0	1000.0	30000	343.2973	32.86203	636.69586	146.25122	-343.5831	7.7079678	243.31827354431152
4	4505.701	208.67313	4718.3135	4284.4204	4187.786	2.8791459	4192.548	4182.8203	1000.0	1000.0	40000	394.36917	34.32637	626.85223	211.26547	-394.85257	7.771054	331.21946597099304
5	4505.0674	210.81384	4718.3877	4283.9478	4186.712	3.625309	4194.3794	4182.7197	1000.0	1000.0	50000	431.6127	40.29054	829.362	179.12294	-432.0846	8.915167	417.72206711769104
6	4376.048	167.99759	4718.1377	4276.3496	4185.9688	2.1327546	4189.0234	4181.3057	1000.0	1000.0	60000	451.5838	41.56247	756.86426	252.45216	-451.9861	7.108436	505.6150469779968
7	4544.7197	208.00107	4720.7056	4278.411	4185.809	2.629307	4192.7544	4182.84	1000.0	1000.0	70000	463.87592	40.396088	811.59845	237.92262	-464.2453	6.960278	593.3623368740082
8	4333.6396	129.06528	4719.816	4266.406	4187.509	3.8004565	4193.4834	4181.249	1000.0	1000.0	80000	470.14215	38.773804	688.8137	235.50084	-470.5181	6.395338	682.2971928119659
9	4291.9253	6.5617595	4306.424	4280.295	4185.0894	1.8813415	4188.4624	4182.9087	1000.0	1000.0	90000	473.7778	38.41884	777.8196	313.05643	-474.1494	5.6462173	770.767103433609
10	4377.993	166.98132	4713.6724	4285.954	4187.5576	4.649063	4199.983	4182.1587	1000.0	1000.0	100000	474.8926	36.629356	720.592	252.5841	-475.23386	5.6151333	859.2635765075684
11	4419.5464	192.70732	4715.0454	4283.6206	4186.8735	2.8470864	4192.24	4183.5146	1000.0	1000.0	110000	475.6881	34.96227	738.42816	334.19843	-476.03854	5.1756086	947.8112061023712
12	4505.134	207.69145	4715.159	4293.0	4189.189	3.465511	4195.7646	4185.9917	1000.0	1000.0	120000	476.11145	33.514137	697.36096	343.49078	-476.43536	4.6016436	1036.269285917282
13	4417.6777	190.7335	4711.785	4283.357	4186.335	3.4324675	4192.2124	4181.826	1000.0	1000.0	130000	476.9917	32.331013	803.0967	314.62918	-477.3319	4.7293606	1125.871016740799
14	4420.204	192.61247	4718.19	4285.643	4187.676	3.941166	4194.6284	4182.6816	1000.0	1000.0	140000	476.67737	31.353752	798.52893	325.13373	-476.99844	4.3753843	1214.6094710826874
15	4335.4614	127.7934	4718.7	4287.197	4186.846	2.9930747	4190.8477	4182.177	1000.0	1000.0	150000	476.31796	30.227753	792.6113	313.0774	-476.6577	4.298313	1303.8519246578217
16	4421.333	191.42291	4717.939	4293.1987	4187.4565	1.9523307	4191.5747	4184.7974	1000.0	1000.0	160000	477.15997	29.68263	990.55414	307.4225	-477.49725	4.123308	1393.2528853416443
17	4375.2744	169.38724	4716.8457	4275.9873	4186.3916	2.2849178	4190.322	4182.9307	1000.0	1000.0	170000	476.54977	28.406885	750.1772	322.0523	-476.8684	3.9553216	1482.6010656356812
18	4337.3677	125.12674	4712.421	4285.267	4187.9575	3.4176834	4196.5557	4184.288	1000.0	1000.0	180000	475.52972	27.431284	744.94617	322.50482	-475.8365	3.5205147	1572.654681444168
19	4376.6914	166.71243	4711.593	4283.825	4185.8726	2.9624357	4190.07	4181.896	1000.0	1000.0	190000	474.06348	26.40728	824.17914	353.93948	-474.34937	3.4224555	1661.4103698730469
20	4333.5986	123.95023	4704.214	4275.77	4187.024	2.203849	4191.1157	4183.37	1000.0	1000.0	200000	472.7258	25.786634	733.8687	280.43896	-473.0224	3.3212786	1751.1327586174011
21	4378.0024	169.30708	4716.5635	4277.263	4186.203	1.9361367	4189.714	4183.161	1000.0	1000.0	210000	472.23523	25.24539	734.14557	195.14253	-472.52304	3.7159617	1841.2562608718872
22	4374.5464	168.43358	4714.0723	4276.678	4186.5938	3.4342182	4194.126	4182.855	1000.0	1000.0	220000	471.10272	24.946016	796.4422	314.10748	-471.3827	3.3033156	1945.0015025138855
23	4379.534	167.88489	4718.3174	4279.1914	4188.3525	4.9868803	4198.98	4183.33	1000.0	1000.0	230000	470.42932	24.567232	677.5454	333.72687	-470.6984	3.1005907	2049.669508934021
24	4328.117	130.39836	4718.5674	4273.3833	4186.333	2.6416774	4190.413	4182.7886	1000.0	1000.0	240000	469.05493	23.953602	666.218	330.0215	-469.30685	2.939698	2154.8342492580414
25	4462.2354	206.28868	4716.883	4285.6826	4186.482	2.695964	4193.173	4182.9155	1000.0	1000.0	250000	467.94803	23.438517	663.92285	358.85474	-468.2042	2.7631648	2259.5772490501404
26	4369.438	170.16524	4714.9136	4275.272	4184.677	2.2958732	4188.639	4180.878	1000.0	1000.0	260000	467.4659	23.409391	758.4669	318.13077	-467.70035	2.69965	2364.23242521286
27	4336.0547	127.16794	4717.375	4287.34	4187.3604	3.7837522	4194.999	4182.03	1000.0	1000.0	270000	466.1207	23.020723	772.25464	316.89606	-466.34134	3.0418856	2469.270400762558
28	4375.282	169.57709	4714.9126	4272.411	4186.0786	3.7046893	4193.368	4182.5522	1000.0	1000.0	280000	464.50647	22.662046	670.9476	351.48132	-464.71994	2.4631226	2574.2635459899902
29	4419.3604	193.52283	4718.4297	4280.176	4184.547	2.8127053	4192.0283	4182.1885	1000.0	1000.0	290000	463.52203	22.403366	704.73846	301.13046	-463.72586	2.4631882	2679.389065027237
30	4459.5874	207.57921	4714.7324	4283.931	4185.7695	2.2038262	4190.2344	4181.961	1000.0	1000.0	300000	462.7934	22.317457	645.301	347.7597	-462.9882	2.4503784	2783.8649270534515
31	4375.265	167.59254	4713.709	4283.6265	4185.846	2.5099988	4190.6465	4182.1196	1000.0	1000.0	310000	461.99002	22.192257	694.8379	321.15973	-462.18726	2.3650777	2889.036198616028
32	4462.0864	206.30229	4715.803	4289.872	4189.7095	4.590461	4198.0674	4185.0654	1000.0	1000.0	320000	461.9419	21.982088	638.9651	363.57822	-462.14276	2.1233618	2992.143397331238
33	4459.1465	208.89766	4718.349	4278.9326	4189.165	4.829369	4201.534	4184.6943	1000.0	1000.0	330000	462.0477	22.044071	656.48114	349.2092	-462.2397	2.1210315	3096.013887166977
34	4377.1465	170.34338	4720.385	4279.213	4187.716	5.1297536	4200.464	4183.4253	1000.0	1000.0	340000	461.61395	22.009827	700.8033	354.92328	-461.7982	2.174213	3200.8951103687286
35	4458.4775	207.98033	4716.95	4271.5444	4187.073	1.6353694	4189.123	4184.1704	1000.0	1000.0	350000	460.82248	21.65776	765.4302	302.09128	-460.99814	2.2889152	3305.9770936965942
36	4372.2095	171.89243	4719.6787	4276.0	4187.644	4.142709	4195.9385	4182.165	1000.0	1000.0	360000	460.26523	21.490818	708.92676	182.2622	-460.44424	2.0857303	3411.8019745349884
37	4376.6895	167.99886	4716.558	4280.306	4187.4287	2.198837	4192.657	4184.3247	1000.0	1000.0	370000	460.0389	21.774828	644.1667	275.924	-460.21646	2.0957918	3514.558446407318
38	4544.272	208.34042	4716.466	4277.0537	4186.2334	1.9295666	4188.658	4182.27	1000.0	1000.0	380000	459.82434	21.721363	616.64	360.1767	-459.98984	1.9585108	3605.359884738922
39	4372.177	170.93965	4716.381	4276.7734	4187.8647	2.719362	4190.777	4183.5645	1000.0	1000.0	390000	459.52188	21.704649	624.77454	286.99405	-459.68945	1.9148879	3696.4711408615112
