Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	4687.9404	8.18475	4706.742	4679.5073	4631.628	10.689237	4652.1094	4617.744	1000.0	1000.0	320000	466.8204	4.3667793	584.60846	350.80157	-466.8187	1.2767833	3021.2373106479645
33	4687.143	16.557428	4709.9697	4655.1304	4632.0312	11.836649	4649.732	4619.891	1000.0	1000.0	330000	466.82166	4.439116	604.4313	350.03098	-466.813	1.4910562	3127.3428962230682
34	4686.5874	3.9112804	4693.1177	4678.3887	4631.4487	8.109741	4649.432	4623.151	1000.0	1000.0	340000	466.6084	4.620011	631.7332	224.30823	-466.59946	1.3840154	3231.8320682048798
35	4692.6826	10.922728	4710.2666	4676.859	4632.9814	12.288182	4650.3257	4620.2754	1000.0	1000.0	350000	466.63504	4.534516	620.06067	376.7248	-466.63416	1.2765933	3335.387549638748
36	4688.1216	7.078879	4699.688	4677.1616	4631.592	7.7117915	4644.944	4621.938	1000.0	1000.0	360000	466.6336	4.5724025	605.7211	249.69344	-466.6202	1.3085303	3437.446091890335
37	4687.5103	9.941097	4705.244	4676.185	4635.4194	9.9225	4647.761	4620.9067	1000.0	1000.0	370000	466.4989	4.461256	595.3222	290.9703	-466.49704	1.2842484	3531.8907108306885
38	4688.862	8.899681	4702.4185	4674.733	4638.409	11.09159	4649.9995	4621.067	1000.0	1000.0	380000	466.6934	4.30574	607.9241	352.19763	-466.69046	1.0983742	3623.3426599502563
39	4688.513	8.025286	4701.6904	4675.224	4634.3413	11.616002	4651.623	4620.124	1000.0	1000.0	390000	466.8298	4.450185	577.92285	383.73636	-466.8259	1.1207714	3715.5613584518433
40	4687.3115	5.5711923	4698.6597	4681.6826	4630.3716	9.140891	4650.8057	4621.7407	1000.0	1000.0	400000	466.7775	4.528034	649.0514	337.87964	-466.7715	1.2257315	3806.466969013214
41	4687.4653	7.9924555	4702.8726	4675.4307	4630.5205	8.660832	4646.2173	4621.5615	1000.0	1000.0	410000	466.81027	4.4384985	593.3591	344.1669	-466.8071	1.0306792	3897.1407930850983
