Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	902800.0	17645.396	572400.0	14941.218	1000.0	1000.0	-13190.33	70519.12	70940.555	20654.588
2	904400.0	5238.3203	848500.0	55277.938	1000.0	1000.0	-51968.375	186289.05	189599.2	105688.86
3	928200.0	50763.766	943900.0	58014.566	1000.0	1000.0	-101100.81	513409.94	509653.5	343751.38
4	933400.0	19396.906	935800.0	12262.136	1000.0	1000.0	-133019.47	1164195.2	1177879.0	759451.56
5	959600.0	13705.474	898100.0	89707.805	1000.0	1000.0	-153594.14	1012053.4	1036634.6	826355.7
6	909800.0	28568.514	810000.0	117626.52	1000.0	1000.0	-164054.94	980811.9	999145.5	844221.0
7	915800.0	22337.412	959900.0	15201.645	1000.0	1000.0	-167363.92	790109.56	794087.6	748392.25
8	929600.0	18607.525	886000.0	115450.42	1000.0	1000.0	-165864.06	742530.7	746842.44	759161.94
9	900400.0	59968.656	939300.0	30558.305	1000.0	1000.0	-166124.5	779994.5	783419.9	750563.8
10	943200.0	20133.553	905700.0	35208.094	1000.0	1000.0	-163280.75	646567.8	644616.3	667332.8
11	924400.0	32879.17	929800.0	30973.535	1000.0	1000.0	-156491.0	524330.3	516826.22	561045.1
12	943600.0	26993.332	872200.0	120039.82	1000.0	1000.0	-149446.81	436505.6	434391.0	503465.47
13	897000.0	39446.164	786000.0	119683.75	1000.0	1000.0	-144702.97	367045.97	367025.2	421955.28
14	697000.0	155690.72	764100.0	137219.12	1000.0	1000.0	-140725.89	302770.53	301723.75	356964.75
15	928000.0	34733.27	864900.0	91176.16	1000.0	1000.0	-135927.03	261180.78	262716.62	323744.16
16	892800.0	85466.72	896600.0	101611.22	1000.0	1000.0	-130562.086	227187.5	224956.83	276011.38
17	892800.0	114609.59	897100.0	57886.87	1000.0	1000.0	-126072.6	197411.36	197634.86	252623.67
18	882400.0	66418.67	928400.0	48398.758	1000.0	1000.0	-121883.81	178067.17	176028.9	222955.75
19	910400.0	61519.43	890700.0	81846.26	1000.0	1000.0	-118107.39	160059.84	158220.11	201809.95
