Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	4577.1436	94.66395	4710.394	4432.819	1000.0	160.89586	0.85452807	160.92226	118.90149	160000	0.12209446	71911.04	-0.015959777	-2260.5703	17.377243	1.7209045	384.9151768684387
32	4435.591	34.49779	4501.763	4405.99	1000.0	165.38644	1.1883425	165.414	86.21581	165000	0.044145044	62664.13	-0.010100659	-2014.0117	17.472912	1.8489658	396.61363339424133
33	4420.855	43.91438	4487.1035	4350.775	1000.0	169.67532	1.567128	169.71286	63.385406	170000	0.08128814	60056.27	-0.014304973	-1944.8398	17.363138	1.8183101	408.2967698574066
34	4527.1396	110.38825	4655.745	4367.989	1000.0	173.86052	3.5314083	173.94121	-69.02137	175000	0.07756077	63732.883	-0.01458817	-2080.1328	17.358112	1.7585727	420.2324984073639
35	4548.1904	73.87535	4678.8965	4450.844	1000.0	178.27866	0.74291813	178.2983	129.9782	180000	-0.06047101	62027.367	-0.017095376	-2016.1016	17.362133	1.7641883	432.2468020915985
36	4491.7056	43.407528	4544.578	4412.7656	1000.0	182.62378	2.0766292	182.67316	42.272766	185000	-0.042663038	57669.594	-0.015693065	-1924.3281	17.348053	1.7647438	443.9409964084625
37	4453.12	31.987566	4489.378	4403.281	1000.0	186.85526	3.4394388	186.9513	-6.171939	190000	-0.0869636	53887.586	-0.01228752	-1842.6367	17.365948	1.78307	455.66138100624084
38	4450.065	35.904133	4503.008	4409.4014	1000.0	191.1101	1.1950572	191.1382	114.545006	195000	-0.017621167	51903.168	-0.011341156	-1744.6797	17.528404	1.8931668	467.3581368923187
39	4507.8496	71.184235	4639.885	4445.0796	1000.0	195.2744	0.5550472	195.29366	163.09839	200000	-0.19765146	51976.63	-0.011688143	-1766.2305	17.412512	1.8406602	479.08353972435
40	4503.1094	100.11088	4658.1475	4395.491	1000.0	199.49782	0.07054006	199.50044	195.2684	205000	0.07677334	50879.07	-0.011989571	-1736.0625	17.3465	1.7711352	491.5135085582733
41	4461.7974	17.839256	4476.019	4428.7485	1000.0	203.68718	0.8962706	203.71413	156.20648	210000	-0.026086066	47155.66	-0.014218792	-1637.6953	17.506466	1.8594297	503.37040090560913
42	4485.582	83.589966	4650.9307	4433.2646	1000.0	207.76483	2.472678	207.82986	57.777397	215000	-0.025936097	46964.51	-0.014388882	-1649.5508	17.263563	1.6975652	514.9087727069855
43	4522.214	21.879591	4543.072	4488.527	1000.0	211.93837	0.81853026	211.96046	163.82495	220000	-0.062350396	46235.57	-0.012253884	-1615.1445	17.345709	1.7599816	526.6640248298645
44	4466.789	36.515224	4521.0625	4426.4507	1000.0	216.0925	0.6538418	216.10716	181.42767	225000	0.024067638	42368.453	-0.01249057	-1513.8672	17.356441	1.7677091	538.1553874015808
45	4471.2627	111.02811	4659.274	4329.5454	1000.0	220.0822	3.786849	220.16342	-36.574516	230000	-0.042207785	41941.992	-0.017287858	-1497.1875	17.450605	1.7695117	549.7283508777618
46	4516.797	109.17156	4642.063	4362.0605	1000.0	224.1752	1.4227645	224.2017	124.93433	235000	0.04462287	41991.906	-0.011903528	-1495.5117	17.386187	1.8068153	561.6294627189636
47	4447.0283	92.83287	4585.9434	4341.479	1000.0	228.26653	0.62343305	228.28293	189.68085	240000	-0.06578229	37883.02	-0.013500556	-1380.4258	17.345041	1.6915005	573.0648860931396
48	4476.9683	62.460564	4553.5615	4396.355	1000.0	232.21515	0.8337564	232.23196	176.85307	245000	-0.13463144	37664.11	-0.017656103	-1372.0273	17.439405	1.8623023	584.6156771183014
