Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13888352.0	27662.92	13942104.0	709.61884	1000.0	1000.0	-331378.03	119143304.0	120181010.0	52846332.0
2	13901312.0	12819.363	13827318.0	252764.98	1000.0	1000.0	-3647210.8	3294913800.0	3324539600.0	906540100.0
3	13876096.0	53153.625	13884048.0	17616.291	1000.0	1000.0	-7987328.0	6447260000.0	6480847400.0	1138554500.0
4	13887578.0	21186.93	12567030.0	3986939.8	1000.0	904.4	-7324099.5	3195500000.0	3201395700.0	527750400.0
5	13924674.0	15369.739	9197945.0	5339455.0	1000.0	661.5	-6652975.5	1477595600.0	1477007400.0	340249570.0
6	7341283.0	6093692.0	7457616.0	6453184.0	527.55554	536.4	-6041547.5	1738520700.0	1738951200.0	267125120.0
7	12787300.0	2249711.2	12629429.0	3843582.0	919.4	907.9	-5241361.0	2613914600.0	2621591300.0	230303740.0
8	9478126.0	5796824.5	11179638.0	5430313.5	681.0	804.6	-4425538.0	2079584500.0	2083120400.0	190907310.0
9	13910046.0	6685.1035	12627610.0	3875198.2	1000.0	907.2	-3820404.8	1437641500.0	1438892400.0	132920720.0
10	8925426.0	6432131.0	12631569.0	3797205.5	641.75	908.9	-3403402.2	1110167400.0	1110363800.0	127783310.0
11	9927370.0	5657180.5	11354572.0	5105487.5	713.0	816.7	-3076451.5	1028096060.0	1027199900.0	112112776.0
12	13906594.0	18776.283	9928173.0	6104402.5	1000.0	713.2	-2830835.0	953732500.0	953883700.0	89458930.0
13	9482479.0	5877667.0	12739049.0	3523452.0	681.125	915.6	-2580649.5	697556900.0	698107000.0	80397180.0
14	7859629.0	5550298.0	7369044.0	6575936.5	564.5	529.3	-2383276.0	815201100.0	815944100.0	73004780.0
15	8106171.5	5782517.0	7892009.5	6083749.5	581.8889	566.8	-2217356.8	845975000.0	845877700.0	70645144.0
16	6834061.0	6067132.5	9047626.0	5264186.0	490.6	649.7	-2068375.6	821765800.0	821216100.0	60070524.0
17	10078951.0	6062072.5	10431322.0	5459402.0	724.4286	749.4	-1948465.2	733452700.0	733616500.0	51446736.0
18	13926995.0	4363.563	12628486.0	3898413.8	1000.0	906.7	-1854013.6	711740350.0	712050500.0	50186500.0
19	9073082.0	5283173.0	13927710.0	8188.7266	651.25	1000.0	-1770403.0	583220800.0	583378500.0	45478292.0
20	10127837.0	6013631.5	6330529.0	5796128.5	727.0	454.6	-1704409.5	571849340.0	571363200.0	43884690.0
21	13922906.0	6118.3486	12725495.0	3600784.8	1000.0	913.8	-1650831.6	556859400.0	556529600.0	42406228.0
22	13921840.0	14974.619	10699752.0	5052330.5	1000.0	768.0	-1607934.8	510723520.0	510440300.0	41496188.0
23	13921010.0	3084.7585	12546261.0	4108035.2	1000.0	901.6	-1575032.2	489281920.0	489048700.0	39308916.0
24	11325747.0	4430985.0	12988303.0	2819581.2	813.1667	932.5	-1547719.9	443564580.0	443306700.0	35144452.0
25	11625485.0	4470172.5	10905862.0	5227178.5	835.0	783.0	-1525089.6	404812770.0	404279460.0	36001300.0
26	9256854.0	5902312.5	10256432.0	5645547.0	664.7143	736.2	-1506147.2	409054880.0	408845470.0	36425720.0
27	13926133.0	5401.6973	9885022.0	6151058.0	1000.0	710.6	-1488593.5	429566940.0	429217180.0	36511970.0
28	10777977.0	5083997.0	10471798.0	5471004.5	774.2857	752.2	-1473878.0	387991200.0	387909920.0	33251782.0
29	13929195.0	6256.64	13833506.0	264988.62	1000.0	1000.0	-1462040.0	344076670.0	344034530.0	35109604.0
