Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13918725.0	7526.1406	13941830.0	1075.2059	1000.0	1000.0	-420082.38	176465070.0	177404030.0	73410690.0
2	13914773.0	7504.725	13921387.0	20974.838	1000.0	1000.0	-4067952.2	3235646200.0	3241804800.0	834515260.0
3	13942558.0	363.60007	12566846.0	4082681.0	1000.0	902.3	-7722723.0	3003524400.0	3013525800.0	475083870.0
4	13923859.0	14166.948	13913386.0	7556.1045	1000.0	1000.0	-6974219.0	1117478400.0	1127708900.0	293042240.0
5	13915021.0	22917.42	13890950.0	23351.893	1000.0	1000.0	-5770682.5	286255070.0	286593280.0	101247020.0
6	13912384.0	31852.213	13824600.0	292429.06	1000.0	1000.0	-4761733.5	72102740.0	71987250.0	46221748.0
7	13912858.0	18711.822	13894536.0	53131.957	1000.0	1000.0	-3983512.0	34549336.0	34910390.0	27098874.0
8	13908088.0	13401.85	13883853.0	103881.945	1000.0	1000.0	-3419925.0	23190076.0	23501456.0	21223532.0
9	13894370.0	35652.363	13891795.0	56066.453	1000.0	1000.0	-2959781.8	11081699.0	11222722.0	12418703.0
10	13883576.0	48056.062	13914302.0	13693.457	1000.0	1000.0	-2603316.8	5655909.0	5736703.0	7525084.5
11	13922472.0	10878.825	13936139.0	9658.546	1000.0	1000.0	-2337019.8	3604468.0	3690397.0	5479564.0
12	13751330.0	353347.0	13912534.0	18042.346	1000.0	1000.0	-2130174.2	3004048.0	3073975.0	4613877.0
13	13925317.0	13743.308	13924302.0	8086.4463	1000.0	1000.0	-1981162.2	2711272.2	2832154.8	5118268.0
14	13928224.0	6311.3257	10113745.0	5849648.0	1000.0	725.8	-1885756.0	3487479.5	3779243.5	5547892.5
15	11333362.0	5193084.0	4952745.0	4541418.0	813.6	355.8	-1808937.2	19210900.0	19548744.0	12586258.0
16	8667602.0	5522885.5	13927608.0	6920.5723	622.44446	1000.0	-1754799.2	101862200.0	101855310.0	21637544.0
17	9201187.0	6110659.5	7225099.0	5804912.5	661.875	518.4	-1705142.0	128885224.0	128964120.0	23875774.0
18	8691406.0	4265920.0	10518266.0	5467459.0	623.625	754.8	-1659402.4	235117800.0	235230620.0	31130408.0
19	5773832.5	5969864.0	10091094.0	5831560.5	414.5	725.7	-1614918.0	333942100.0	334194600.0	34858324.0
20	6943890.5	6291079.5	12414115.0	3957995.2	498.77777	890.8	-1577815.2	316605200.0	316635070.0	35020884.0
21	9478763.0	5873781.0	13934152.0	5445.696	680.5	1000.0	-1538605.0	344813600.0	344902200.0	33335836.0
22	11332320.0	4708697.5	11422979.0	4236780.0	813.1667	819.7	-1507457.9	317670180.0	317473200.0	32606216.0
23	10639830.0	5028309.0	13927267.0	10946.586	763.5	1000.0	-1482786.9	346061280.0	345843300.0	33525118.0
24	8718086.0	5654549.0	10944489.0	4781238.5	625.875	791.3	-1462363.9	299707070.0	299642140.0	31623390.0
25	9288086.0	6079347.0	8684160.0	6288272.5	666.625	623.3	-1445796.6	337983700.0	337829250.0	31641190.0
26	8993347.0	5837573.5	12570658.0	4092621.0	645.4286	902.1	-1432338.2	306895580.0	306764220.0	28764554.0
27	9332198.0	5997493.5	8200406.5	5977200.0	669.875	588.5	-1424363.5	333089400.0	332838900.0	29402434.0
28	10596146.0	4841023.0	13926565.0	17664.32	761.1667	1000.0	-1416876.5	354795870.0	354769440.0	33104020.0
29	13932426.0	8461.693	11377790.0	5049520.5	1000.0	818.6	-1411938.1	349535330.0	349335780.0	28405220.0
