Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	885200.0	15522.887	988400.0	2690.7249	1000.0	1000.0	-14698.944	82079.875	81561.96	25635.834
2	880600.0	10965.4	929100.0	29176.875	1000.0	1000.0	-58535.36	213203.17	206056.03	136707.73
3	888800.0	70046.84	924100.0	34906.88	1000.0	1000.0	-118001.86	916767.9	901238.8	602779.94
4	916600.0	52917.297	965200.0	24432.766	1000.0	1000.0	-156975.25	1038281.6	1020399.7	843195.44
5	925800.0	35368.914	769600.0	100621.266	1000.0	1000.0	-174253.9	1160053.8	1153504.9	979028.2
6	853000.0	78577.35	878100.0	78141.48	1000.0	1000.0	-184470.33	1074673.0	1066760.4	984779.7
7	877600.0	82468.42	897800.0	41906.562	1000.0	1000.0	-191028.14	1225692.2	1214417.1	1075450.0
8	903600.0	25215.867	897900.0	15514.1875	1000.0	1000.0	-191188.31	1168779.9	1157940.4	1017425.44
9	869200.0	85695.74	786900.0	194257.8	1000.0	1000.0	-187758.58	959397.56	947211.9	911654.7
10	927200.0	27410.945	913400.0	26112.066	1000.0	1000.0	-183099.55	835026.8	825062.9	782723.06
11	913800.0	26641.32	937500.0	38546.727	1000.0	1000.0	-176438.38	704541.56	700711.3	696673.56
12	897800.0	53760.207	949700.0	13092.364	1000.0	1000.0	-169629.8	623577.94	624596.06	635969.06
13	927400.0	19581.623	805900.0	72702.75	1000.0	1000.0	-162940.28	561851.0	559564.8	575465.8
14	895000.0	51826.637	911800.0	69174.85	1000.0	1000.0	-158773.34	452803.2	451478.62	490516.06
15	911400.0	18391.303	884000.0	148714.5	1000.0	1000.0	-153541.53	360021.66	359863.1	419357.38
16	844400.0	186353.0	834000.0	165268.27	1000.0	1000.0	-148005.73	313551.4	312221.2	373110.3
17	946400.0	31746.494	941200.0	35439.523	1000.0	1000.0	-142115.98	259995.72	262094.55	310915.44
18	942800.0	23275.738	926000.0	68989.85	1000.0	1000.0	-136221.75	221958.77	224587.75	278941.75
19	872400.0	108418.81	947500.0	74163.664	1000.0	1000.0	-130516.016	193965.78	195214.66	247563.62
20	923200.0	45300.77	857700.0	131196.08	1000.0	1000.0	-125172.25	172987.42	174925.19	220557.11
21	927400.0	27397.81	941500.0	12338.962	1000.0	1000.0	-120744.1	157224.73	158918.6	199136.55
22	940400.0	16847.55	954600.0	49836.13	1000.0	1000.0	-116875.17	147755.36	150246.47	190765.77
23	936600.0	18336.848	923700.0	57713.168	1000.0	1000.0	-113218.83	133801.95	135741.98	170841.97
24	896600.0	73958.37	961700.0	46863.742	1000.0	1000.0	-110164.15	127237.57	127700.375	160082.48
25	919000.0	42123.625	819600.0	135773.5	1000.0	1000.0	-107581.31	117610.14	118733.75	146629.06
26	922600.0	27015.55	850500.0	140215.02	1000.0	1000.0	-105492.87	110386.14	110860.57	139493.22
27	864800.0	146745.22	886700.0	123946.805	1000.0	1000.0	-103669.33	103506.98	102473.44	127833.445
28	897800.0	71146.05	937600.0	20674.621	1000.0	1000.0	-102205.95	96450.49	96499.84	119719.17
29	931800.0	51409.727	972600.0	41178.15	1000.0	1000.0	-101039.36	93349.13	93079.72	115840.72
