Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13911686.0	10464.721	13942558.0	363.60007	1000.0	1000.0	-422960.72	150210000.0	145740820.0	47701140.0
2	13918955.0	8197.532	13937936.0	10183.969	1000.0	1000.0	-3162758.8	1751548500.0	1730714100.0	401031550.0
3	8692798.0	6196470.5	11229722.0	5413382.0	623.7143	805.8	-5349620.5	3284848600.0	3256057600.0	348246500.0
4	10030697.0	6158818.0	11796640.0	4474398.0	720.2857	846.7	-4796122.5	4235310300.0	4213361400.0	233169420.0
5	13915437.0	38926.91	6125514.5	6292774.0	1000.0	439.6	-4019402.2	2583514000.0	2569839000.0	266210800.0
6	6421875.0	5723003.5	2327832.8	3947888.2	460.9091	167.1	-3517971.2	2013994800.0	2010946400.0	197202780.0
7	4654103.5	4798704.0	5281018.5	5680281.5	340.0625	378.9	-3156565.2	2544777200.0	2544680400.0	161744770.0
8	5820576.0	4808313.0	13043478.0	2679955.5	417.75	935.9	-2802922.2	3309151000.0	3311854000.0	144496180.0
9	11673765.0	4978096.0	7760441.5	6348942.5	839.8333	556.9	-2600671.8	3062398500.0	3063580400.0	110793460.0
10	9476175.0	5867016.5	13235113.0	2098434.2	680.1429	949.8	-2424413.0	2386665700.0	2388281000.0	93974584.0
11	11853883.0	4591056.0	11632897.0	4290955.0	852.3333	834.6	-2232346.2	1874727800.0	1876313000.0	72717430.0
12	13839024.0	188041.05	13934118.0	3604.443	993.2	1000.0	-2065967.2	1544945800.0	1546686100.0	73482824.0
13	11354952.0	4383377.0	12624455.0	3947888.5	814.8333	905.6	-1928846.1	1214731400.0	1216022400.0	62413812.0
14	8678791.0	5485825.5	8401442.0	5349280.0	622.875	603.2	-1819830.5	1105086000.0	1105681700.0	56342936.0
15	12817392.0	1849178.6	7456762.5	5882685.0	920.0	535.0	-1755106.9	963747300.0	963952260.0	53759930.0
16	9771224.0	5726804.0	9146166.0	5969059.5	701.2857	656.7	-1699508.1	962843140.0	963313340.0	54878428.0
17	7254620.0	6677154.5	9906956.0	5204614.0	520.8	711.9	-1645284.5	857327360.0	857727400.0	47668476.0
18	6904509.0	5802202.0	7437301.5	5603665.0	495.63635	533.6	-1599546.2	898835500.0	899110660.0	45575452.0
19	10235838.0	4964658.5	4711582.0	5263163.5	734.5714	338.7	-1562169.5	894639200.0	894980800.0	44891350.0
20	7483566.0	5788000.0	8903751.0	4579864.5	537.44446	639.1	-1530139.6	895798850.0	895692200.0	41747868.0
21	9938857.0	4675957.0	9705510.0	5588376.0	713.4286	696.8	-1507334.9	841862100.0	841685000.0	40122110.0
22	10330463.0	5244412.0	11910200.0	4070911.0	741.3333	854.7	-1486638.6	740106050.0	739687360.0	39917036.0
23	7642586.5	6357160.0	8795488.0	6292575.5	548.4	631.6	-1465941.1	768063500.0	767859260.0	40201668.0
24	5995514.5	5342428.0	12821174.0	1789194.5	430.4	920.8	-1451878.5	738287740.0	737842300.0	38198150.0
25	10275114.0	5586748.0	9307199.0	5741181.0	737.7143	667.9	-1439216.1	773384000.0	773224000.0	39582372.0
26	9902114.0	5534822.0	11293821.0	5267463.0	710.875	810.9	-1427690.5	736185800.0	736027460.0	38096172.0
27	13902157.0	44212.383	6753755.0	6032581.5	1000.0	484.6	-1416791.9	736377700.0	736353300.0	37013796.0
28	9786759.0	5877765.5	10678191.0	4583798.0	703.1667	766.6	-1410274.8	672544960.0	672194240.0	37754610.0
29	13926517.0	7153.7075	5902067.0	6561482.0	1000.0	423.6	-1405745.1	672406100.0	672225900.0	36991148.0
