Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	-612.3824	95.02414	-474.6057	-736.1538	-689.621	258.12997	-216.60094	-1170.7557	1000.0	922.0	155000	16.204416	13.48232	130.52275	-47.603302	-17.222895	5.1906166	1124.883050441742
32	-594.36487	82.12877	-497.54037	-724.73926	-624.0268	236.323	-303.7045	-906.8472	1000.0	1000.0	160000	14.212706	12.535568	110.02926	-49.935837	-15.193206	4.602184	1165.7419364452362
33	-619.2184	140.19034	-467.56406	-809.0725	-1042.8928	362.3878	-167.48668	-1278.5248	1000.0	1000.0	165000	12.922493	12.312169	96.81988	-46.602524	-13.920808	4.0965843	1207.3516647815704
34	-723.1422	121.96975	-522.9768	-848.39844	-248.18987	190.79594	-45.966938	-626.95135	1000.0	1000.0	170000	11.677622	12.279622	96.781685	-74.43277	-12.636001	3.8682423	1248.0697379112244
35	-546.72955	153.19038	-383.59003	-765.74164	-465.71393	177.85109	-288.05902	-923.42035	1000.0	1000.0	175000	10.774169	12.012414	112.48174	-45.3861	-11.745075	3.8642457	1289.111887216568
36	-610.29443	83.92518	-501.97775	-696.95215	-321.96817	55.011288	-226.05794	-410.81525	1000.0	924.8	180000	10.086595	12.069082	102.39871	-50.656998	-11.049621	3.7880993	1329.6060910224915
37	-518.8959	90.41237	-346.42365	-599.6519	-502.54688	218.45027	-215.1172	-1031.9933	1000.0	1000.0	185000	9.856121	11.683527	96.312355	-41.794746	-10.821529	3.40701	1371.2859282493591
38	-448.7709	114.5431	-320.58997	-655.5213	-443.9629	173.84563	-240.32132	-892.1368	1000.0	1000.0	190000	10.39497	11.082493	95.920364	-48.66996	-11.392255	3.3619359	1412.8122820854187
39	-417.90552	166.36429	-161.31322	-672.42865	-557.86145	272.80557	-204.91333	-1032.873	1000.0	955.1	195000	11.696978	10.481561	89.38857	-46.073444	-12.718363	3.1703172	1454.0578005313873
40	-401.3025	53.19743	-307.89056	-464.66464	-288.4591	147.58545	-122.86436	-583.30035	1000.0	1000.0	200000	13.120071	9.972613	85.237724	-54.841003	-14.132925	3.0397148	1494.8857593536377
41	-298.44727	127.298134	-125.862366	-465.81046	-268.4316	188.4877	14.846476	-567.02313	1000.0	1000.0	205000	14.861878	9.584787	77.55496	-58.355495	-15.913756	2.8108015	1536.4685924053192
42	-273.2658	82.3073	-158.59946	-376.39542	-143.28745	95.86604	47.270943	-350.17038	1000.0	1000.0	210000	17.38424	9.080435	73.18367	-51.786423	-18.455236	2.4922166	1577.780074596405
43	-393.64505	93.53692	-302.87894	-559.6691	-222.9333	131.74239	14.900788	-418.01868	943.6667	1000.0	215000	19.889086	8.97077	78.11552	-78.97745	-20.966347	2.3234448	1621.4404783248901
44	-258.43994	40.17573	-213.11868	-317.71887	-89.75694	126.59672	129.7954	-343.984	1000.0	1000.0	220000	23.151033	9.61868	78.75491	-42.213768	-24.291641	2.2903805	1663.5861194133759
45	-281.4803	199.73512	-58.982346	-647.995	-116.49519	216.4134	285.32922	-467.3496	1000.0	1000.0	225000	26.710133	10.334588	79.374306	-36.921	-27.899525	2.372501	1705.4786400794983
46	-337.0168	275.0795	-15.360529	-719.3015	-178.03424	195.50633	166.3484	-586.4351	1000.0	1000.0	230000	31.064507	11.177684	88.343445	-35.31279	-32.301987	2.5073493	1747.313366651535
47	-206.26384	239.85649	117.61475	-459.50238	-126.121254	263.8878	350.0411	-506.17368	1000.0	1000.0	235000	35.142815	12.0287	85.25863	-35.17363	-36.392746	2.5664697	1789.3012974262238
48	-3.6228516	145.06355	187.29855	-195.88272	-180.49394	404.98877	437.18854	-769.8414	1000.0	1000.0	240000	39.004265	12.783069	96.99312	-25.95512	-40.282063	2.7358675	1831.1869502067566
