Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	889800.0	17993.332	945800.0	65182.516	1000.0	1000.0	-13575.99	86100.6	85727.89	32390.777
2	900400.0	7499.3335	938100.0	41723.977	1000.0	1000.0	-65788.03	282312.84	283807.12	185375.7
3	951400.0	38124.008	939200.0	6209.67	1000.0	1000.0	-152746.5	922840.56	918425.94	731720.6
4	925200.0	66508.34	972900.0	6992.138	1000.0	1000.0	-215640.11	1237101.1	1208702.0	1100191.1
5	956000.0	12473.973	856000.0	140422.23	1000.0	1000.0	-254749.12	2317913.8	2280095.5	1859198.1
6	956600.0	13573.504	887700.0	39326.965	1000.0	1000.0	-281188.3	2539042.2	2493864.0	1959706.6
7	949400.0	30936.062	959500.0	31604.588	1000.0	1000.0	-290438.3	2668101.8	2621397.8	2051762.1
8	950800.0	17837.04	919700.0	82280.08	1000.0	1000.0	-297920.6	2663803.8	2568515.2	2181101.2
9	924400.0	46443.945	917700.0	76593.8	1000.0	1000.0	-296478.22	2245839.5	2188296.2	2011690.6
10	950600.0	24751.566	944700.0	37536.78	1000.0	1000.0	-285282.84	1937784.0	1875139.0	1792904.0
11	923200.0	68747.07	943200.0	8623.225	1000.0	1000.0	-267291.16	1685246.8	1636593.1	1603124.6
12	911600.0	28917.814	880300.0	75675.69	1000.0	1000.0	-252113.56	1520408.0	1485905.0	1476626.6
13	873000.0	114635.07	799300.0	53542.6	1000.0	1000.0	-240622.28	1360513.9	1319688.0	1306275.2
14	905600.0	74813.37	922300.0	55799.73	1000.0	1000.0	-230043.88	1138661.8	1103980.9	1121591.8
15	910400.0	51227.336	926900.0	59338.773	1000.0	1000.0	-216810.23	943001.2	914165.75	950536.0
16	911400.0	38129.254	942300.0	95102.1	1000.0	1000.0	-204073.17	760065.44	740882.0	814682.75
17	913400.0	30209.932	914500.0	48108.734	1000.0	1000.0	-193245.77	671655.25	649822.1	714862.2
18	912200.0	53033.574	945700.0	44942.297	1000.0	1000.0	-183064.19	579000.4	564432.4	616897.0
19	881200.0	110249.53	941800.0	19056.758	1000.0	1000.0	-173004.42	518794.97	506538.7	567485.75
