Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	7605191.0	283491.6	13942739.0	1.0	1000.0	1000.0	-38955.938	64360276.0	70542490.0	623583.2
2	7596025.5	270340.66	11526292.0	3897.482	1000.0	1000.0	-184624.23	342864220.0	382348500.0	4508783.0
3	7305123.0	3268228.5	8576595.0	2173.3801	1000.0	1000.0	-453589.97	1265778300.0	1426750500.0	21975544.0
4	7871726.5	2729559.5	7328381.0	4706.896	1000.0	1000.0	-748000.6	1924020100.0	2091870600.0	21298526.0
5	9060258.0	2008588.1	11521381.0	11151.956	1000.0	1000.0	-1011427.8	2400049200.0	2484957400.0	14242310.0
6	9373614.0	1807181.2	7785149.0	2475982.5	1000.0	1000.0	-1205790.8	2623570700.0	2668782000.0	8154251.5
7	9377806.0	1796595.1	9282014.0	4467085.0	1000.0	1000.0	-1344340.8	2682619000.0	2714871300.0	6245966.5
8	8989501.0	3775690.5	8577067.0	611.79785	1000.0	1000.0	-1434003.9	2801839600.0	2835952000.0	5039699.5
9	5384083.0	3109727.8	7611128.0	8982.41	1000.0	1000.0	-1488403.9	3165202200.0	3217732400.0	6143052.0
10	9311014.0	1848205.9	7809985.0	2358930.5	1000.0	1000.0	-1513274.8	2847833000.0	2887262500.0	5463702.0
11	9402690.0	1758660.9	11523094.0	9073.996	1000.0	1000.0	-1516872.2	2583656000.0	2616231700.0	5516696.0
12	8757048.0	3927085.8	8588745.0	19631.191	1000.0	1000.0	-1501019.2	2324892000.0	2353619200.0	6043527.0
13	7488801.5	3905832.5	11520107.0	7438.234	1000.0	1000.0	-1453417.1	2498558700.0	2515550700.0	10091481.0
14	11520539.0	9911.946	11517023.0	12702.087	1000.0	1000.0	-1419754.5	2075987700.0	2103103400.0	13138574.0
15	10014666.0	2996041.8	11517806.0	12480.581	1000.0	1000.0	-1395322.5	1585297300.0	1626591400.0	12673783.0
