Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	902200.0	9064.216	600900.0	38761.97	1000.0	1000.0	-15138.491	80565.21	80309.25	27398.797
2	910800.0	6615.1343	877300.0	11983.738	1000.0	1000.0	-60669.844	229293.9	227927.7	142001.2
3	853000.0	162238.1	589900.0	54615.84	1000.0	1000.0	-115676.016	522649.03	522359.5	363991.1
4	907800.0	126054.586	957600.0	12571.3955	1000.0	1000.0	-153325.6	1153397.4	1168301.2	793151.8
5	965000.0	16136.914	958400.0	21634.232	1000.0	1000.0	-163257.62	1916771.5	1936806.8	1251883.6
6	890000.0	98970.71	976000.0	4582.5757	1000.0	1000.0	-168747.58	1922717.1	1927642.4	1332687.5
7	965600.0	6681.3174	914800.0	23878.021	1000.0	1000.0	-171408.8	1704772.0	1698420.4	1261276.0
8	925600.0	28018.564	928700.0	58566.29	1000.0	1000.0	-171482.16	1308712.8	1290697.5	1080809.8
9	929200.0	18861.6	942600.0	47638.64	1000.0	1000.0	-171392.2	983894.1	965465.06	887800.44
10	889800.0	113197.875	826300.0	122007.42	1000.0	1000.0	-169834.25	889040.5	862405.44	822793.3
11	889000.0	104053.836	963600.0	13124.023	1000.0	1000.0	-164898.56	688715.56	667502.3	694888.8
12	964800.0	12302.845	934000.0	92641.24	1000.0	1000.0	-157286.22	563908.75	543861.44	590877.0
13	947200.0	14945.233	965500.0	43573.504	1000.0	1000.0	-150968.75	455875.75	445712.06	495225.03
14	931800.0	31833.316	944300.0	27550.137	1000.0	1000.0	-144630.1	349550.97	341373.28	402420.22
15	899400.0	121429.16	786800.0	168106.39	1000.0	1000.0	-137183.88	261502.16	254413.12	325985.38
16	970000.0	25345.611	934600.0	58569.96	1000.0	1000.0	-131215.77	201505.0	195154.8	257870.55
17	915200.0	95806.89	887800.0	79397.484	1000.0	1000.0	-125544.24	162348.64	160433.38	221178.16
18	940600.0	41816.742	912500.0	90417.086	1000.0	1000.0	-121004.97	148729.08	145621.84	199265.31
19	920400.0	67931.14	965800.0	49286.51	1000.0	1000.0	-117246.67	141963.95	138588.6	188063.56
