Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	904000.0	8221.922	821800.0	188074.89	1000.0	1000.0	-13563.088	71205.39	71430.39	22275.73
2	909800.0	17220.918	892000.0	10285.913	1000.0	1000.0	-52339.125	218306.56	216946.58	117993.05
3	920000.0	42156.848	936200.0	11487.384	1000.0	1000.0	-104409.04	883378.56	876624.0	509350.44
4	948800.0	5706.137	929800.0	35639.305	1000.0	1000.0	-144488.8	1198170.2	1217054.0	790574.4
5	926200.0	15676.734	951300.0	8556.284	1000.0	1000.0	-159815.34	1181032.0	1198976.2	840528.4
6	943200.0	13746.272	941300.0	59752.906	1000.0	1000.0	-169363.86	1026251.7	1035035.25	829383.25
7	928200.0	18334.666	953900.0	19495.896	1000.0	1000.0	-177304.61	756520.3	768549.3	744854.8
8	928800.0	12765.579	942400.0	11359.577	1000.0	1000.0	-176695.1	695729.44	705281.6	692889.5
9	919400.0	39595.96	935500.0	29564.336	1000.0	1000.0	-171013.66	659838.75	663896.2	647650.25
10	929000.0	17469.973	899000.0	32533.059	1000.0	1000.0	-166996.78	571145.9	575687.9	591814.1
11	910600.0	46145.855	943900.0	16765.738	1000.0	1000.0	-165158.97	504515.2	506097.97	527413.2
12	929200.0	18903.967	951800.0	14197.183	1000.0	1000.0	-160516.5	405016.12	408185.66	456069.47
13	943800.0	11391.225	950800.0	13444.701	1000.0	1000.0	-156494.2	352115.62	355203.5	418436.1
14	940000.0	29065.443	948300.0	44479.32	1000.0	1000.0	-153536.8	344810.03	349257.84	402554.3
15	953800.0	34573.98	859600.0	144880.78	1000.0	1000.0	-150573.83	329674.03	335719.28	376812.1
16	859800.0	118457.42	892400.0	105639.195	1000.0	1000.0	-147257.27	289693.4	295682.0	341326.06
17	909000.0	47970.824	933000.0	24368.012	1000.0	1000.0	-143130.16	240111.77	242824.31	288906.12
18	917600.0	17304.334	944700.0	18303.277	1000.0	1000.0	-137830.7	191659.25	194560.89	246733.03
19	944200.0	25568.73	938000.0	29475.414	1000.0	1000.0	-131462.45	162675.16	162986.16	215398.14
20	927800.0	24094.812	938300.0	31496.19	1000.0	1000.0	-125395.914	138208.1	137385.47	182888.89
21	954800.0	30979.994	862100.0	141019.47	1000.0	1000.0	-120156.95	123718.63	123567.1	166422.64
22	920200.0	37461.445	951300.0	22045.635	1000.0	1000.0	-116010.55	114514.266	113901.61	150358.4
23	951000.0	21642.55	951000.0	8294.576	1000.0	1000.0	-112387.41	108641.26	107723.914	142553.25
24	918600.0	36047.746	932800.0	27942.082	1000.0	1000.0	-109589.17	103364.29	103022.72	135759.67
25	914200.0	56975.082	953500.0	30598.203	1000.0	1000.0	-107157.9	97453.48	97008.7	128299.414
26	926400.0	32475.22	933100.0	16843.1	1000.0	1000.0	-105163.375	89882.164	89442.98	116699.125
27	943600.0	23921.54	941100.0	14570.175	1000.0	1000.0	-103615.27	84345.47	83500.055	110214.45
28	954400.0	6800.0	941600.0	40578.812	1000.0	1000.0	-102208.61	82141.836	81272.266	108802.664
29	945800.0	24235.51	939300.0	34813.938	1000.0	1000.0	-100958.49	77915.89	76731.52	100497.305
