Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	11432086.0	119970.22	13942739.0	1.0	1000.0	1000.0	-33655.79	89972184.0	84804770.0	195913.36
2	11435523.0	130991.34	500184.1	7650.5366	1000.0	1000.0	-184282.52	387215970.0	360768420.0	2821489.2
3	854105.8	193323.22	1785673.2	14099.229	1000.0	1000.0	-464715.16	1133376500.0	1065277800.0	10441345.0
4	3078961.5	2227448.8	8980981.0	2086145.9	1000.0	1000.0	-681439.8	1972558100.0	1907042400.0	6767202.0
5	3847816.0	3882157.5	3225225.8	4567145.0	1000.0	1000.0	-801779.75	1815097900.0	1805280300.0	4537144.5
6	2072506.0	1643548.5	1909409.2	2869847.0	1000.0	1000.0	-856064.44	1437751700.0	1426901600.0	2749652.5
7	2941963.8	3014824.0	1718321.8	178621.31	1000.0	1000.0	-847122.4	1301239000.0	1290292700.0	2659788.8
8	3223302.5	3089151.5	952147.1	6412.9077	1000.0	1000.0	-816526.3	1163219100.0	1150825600.0	3434923.5
9	819734.7	145222.47	5370555.5	3705859.8	1000.0	1000.0	-788964.44	983753860.0	972212100.0	4378779.0
10	3817255.5	3921120.5	4049368.5	3549563.5	1000.0	1000.0	-751593.4	732175900.0	725393500.0	3648064.8
11	4278590.5	2580783.8	7115881.0	2638500.2	1000.0	1000.0	-701254.94	607488700.0	602931260.0	3488116.8
12	4738862.5	3781846.2	10165752.0	3657945.8	1000.0	905.4	-647876.8	476572350.0	472936670.0	3133148.8
13	13341424.0	594679.4	12969878.0	1734145.0	1000.0	1000.0	-649601.94	392602200.0	389383700.0	3111049.0
14	11099311.0	1580698.0	10977502.0	1795340.5	1000.0	1000.0	-708663.2	395678240.0	391744260.0	3309868.8
15	10999492.0	1580223.4	11110744.0	1491236.8	1000.0	1000.0	-752022.4	446691800.0	440932450.0	3559940.0
