Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	4499.1904	60.941605	4562.9443	4399.6494	1000.0	-0.11230737	0.7412242	2.819114	-3.444955	5000	-0.053149547	173308.69	-0.08746067	-11745.531	16.08249	0.45928624	19.49213409423828
1	4518.74	41.01893	4557.93	4457.6934	1000.0	14.464344	1.2274127	14.796285	-9.861426	10000	-0.0031866394	163333.55	-0.04810312	-5220.547	16.077003	0.44985956	29.901623249053955
2	4486.3174	28.723684	4524.094	4448.6895	1000.0	20.840563	2.6982229	21.17404	-19.836458	15000	0.05477467	155545.77	-0.033254646	-4567.8906	16.038235	0.45652184	40.839351415634155
3	4502.0225	44.468967	4583.3047	4452.1113	1000.0	26.758793	1.0839628	26.853848	-5.270357	20000	0.019834194	152862.58	-0.030289285	-4192.0938	16.069984	0.45092285	51.70581674575806
4	4500.015	66.6722	4606.6963	4423.178	1000.0	32.246098	1.0902336	32.33097	-10.099102	25000	-0.00028728333	147937.03	-0.026427262	-4019.7344	15.970649	0.37733817	62.2484929561615
5	4537.9077	81.12826	4676.1494	4439.444	1000.0	37.53608	1.8049722	37.664318	-31.188747	30000	-0.021446079	146896.75	-0.024541803	-3962.8594	16.04561	0.40073377	72.80961418151855
6	4476.4697	36.160336	4507.8887	4413.646	1000.0	42.856144	1.7590964	42.929565	-41.66194	35000	0.0023410004	138686.19	-0.020902744	-3718.7969	16.018326	0.4024034	83.21535277366638
7	4527.768	30.288128	4547.898	4467.6597	1000.0	48.031845	0.713675	48.061443	7.6169477	40000	0.032939635	138535.19	-0.019344553	-3704.625	15.952816	0.39425153	93.79550099372864
8	4489.882	90.49545	4666.5396	4408.458	1000.0	53.168575	0.6594798	53.195827	21.323904	45000	0.030387798	132270.4	-0.015813394	-3553.3984	16.098015	0.42309278	104.48259615898132
9	4496.323	65.78889	4587.1035	4410.9507	1000.0	58.156826	1.9708335	58.24205	-33.53429	50000	0.045661017	129729.086	-0.015989369	-3530.5469	16.084005	0.4157021	115.60686111450195
10	4553.3447	125.47641	4787.9004	4414.0996	1000.0	63.178226	1.5176358	63.24721	-0.88075405	55000	-0.04180936	129690.805	-0.017247766	-3510.7344	16.041737	0.43159518	127.16977262496948
11	4481.4736	43.286278	4560.0	4429.8413	1000.0	68.23165	0.7530571	68.262474	35.881336	60000	-0.042039815	121634.85	-0.015742168	-3317.9453	16.100328	0.43606642	137.86313652992249
12	4528.4863	81.79814	4649.5405	4404.014	1000.0	73.105385	1.7260221	73.17872	-16.10025	65000	-0.018981555	120016.38	-0.014272833	-3303.5156	16.05726	0.42457247	148.87069153785706
13	4499.6553	63.35689	4623.032	4450.4463	1000.0	78.045265	0.7916536	78.071846	29.941046	70000	0.005645477	115626.52	-0.013709082	-3165.4531	15.937299	0.40871733	159.88169074058533
14	4469.1406	50.89767	4520.5137	4375.0522	1000.0	82.86435	1.119241	82.911285	28.949965	75000	-0.07339316	110653.86	-0.014388278	-3079.664	16.084572	0.49772006	170.9480903148651
15	4471.003	60.068363	4581.1094	4420.3716	1000.0	87.66366	1.118718	87.69322	16.647987	80000	0.0048984513	108289.91	-0.012471702	-3014.7266	16.025469	0.4105419	181.83856177330017
16	4579.9424	39.833096	4614.494	4507.9155	1000.0	92.41577	0.9923305	92.45289	46.35595	85000	0.059335582	112793.6	-0.015417196	-3160.2812	16.054731	0.44390845	192.86115503311157
17	4486.728	22.72589	4508.5103	4445.654	1000.0	97.304726	1.1405376	97.33102	19.545483	90000	-0.026343893	102753.58	-0.012031522	-2890.4375	16.127867	0.49482787	204.03757429122925
18	4493.0894	31.326422	4527.9355	4454.5874	1000.0	102.00226	1.286978	102.04513	42.19955	95000	0.045268793	99388.21	-0.014976904	-2844.2031	16.011309	0.43785143	214.9699821472168
19	4511.7603	45.89433	4585.9424	4460.691	1000.0	106.6942	1.1327399	106.721664	31.386969	100000	0.012762954	98207.836	-0.014233484	-2802.539	15.986867	0.4004069	226.13323402404785
20	4514.0806	51.146194	4573.561	4428.9062	1000.0	111.359726	1.1278677	111.39403	51.084095	105000	-0.07897651	95716.64	-0.01624965	-2766.836	16.133762	0.50331736	238.00902605056763
21	4487.5005	61.0275	4567.4604	4378.807	1000.0	116.00258	2.4888916	116.05964	-39.12397	110000	0.064996034	91532.125	-0.015756637	-2677.5078	16.001856	0.43399966	248.9840247631073
22	4498.74	53.407333	4596.1304	4435.056	1000.0	120.64005	0.44812328	120.65225	94.08581	115000	0.054353066	89212.02	-0.012146123	-2605.4922	16.057247	0.43138143	260.0188534259796
23	4546.3657	26.420795	4571.9106	4506.719	1000.0	125.22952	0.20459443	125.23556	111.71151	120000	0.036327995	89784.69	-0.013554009	-2628.039	16.031605	0.40686688	271.0472617149353
24	4536.698	58.463364	4638.085	4462.4487	1000.0	129.85664	0.21705365	129.86249	119.3743	125000	-0.0011326477	86366.45	-0.012107178	-2556.1094	16.027512	0.39967456	282.12904953956604
25	4529.663	63.664745	4632.658	4452.895	1000.0	134.3798	2.635325	134.45421	5.7536488	130000	-0.076210216	83311.17	-0.015099376	-2509.625	16.121927	0.4711755	293.28562784194946
26	4563.3994	79.722145	4690.179	4484.1606	1000.0	138.95712	0.8765405	138.98996	88.95231	135000	-0.02398916	82809.19	-0.011978041	-2503.0	16.087788	0.5102287	304.39486169815063
