Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13892422.0	28360.309	13638786.0	156361.11	1000.0	1000.0	-341385.6	98039370.0	98268550.0	28825462.0
2	13907733.0	13780.027	12791947.0	1409630.6	1000.0	1000.0	-2573791.8	1029672900.0	1030219500.0	278288130.0
3	13008258.0	1048250.2	13642038.0	691121.4	1000.0	1000.0	-4362541.5	1447074800.0	1444167700.0	268131800.0
4	11169828.0	5446438.0	8007926.5	6184256.5	804.0	584.1	-4209594.0	811185600.0	816744960.0	185527650.0
5	4816088.5	5922980.5	10659220.0	5030225.5	346.2353	769.0	-4165184.5	2192441000.0	2191966500.0	200486400.0
6	8812818.0	5872151.0	8809811.0	6248003.5	635.2857	633.3	-3919885.8	3799318500.0	3796060400.0	156174480.0
7	8681131.0	6294057.5	8298253.0	5706043.0	624.0	599.8	-3601150.0	3021243600.0	3016116000.0	116609576.0
8	11062018.0	3689273.2	7851149.0	6184886.0	794.0	563.6	-3229205.2	2618940700.0	2614493400.0	104356210.0
9	7965240.0	6018450.0	10563082.0	5406501.0	575.625	758.5	-2909971.0	2136101600.0	2134004200.0	83669736.0
10	8938658.0	6423050.0	11026646.0	5072589.5	642.5	791.4	-2662905.0	1838411600.0	1835486800.0	67190360.0
11	10400297.0	5599092.5	9900490.0	5248538.0	746.4286	710.8	-2436571.5	1539041900.0	1535518600.0	63269220.0
12	10076273.0	4918568.0	7191185.0	4524162.5	723.4286	518.2	-2246594.2	1418549400.0	1413312900.0	58363924.0
13	8820311.0	5581520.0	11165469.0	5107867.5	633.2857	802.6	-2101007.8	1287075000.0	1281796500.0	51470724.0
14	6239475.0	6509626.0	4746839.0	6038929.5	448.0	340.9	-1981564.6	1105649500.0	1099826300.0	49397020.0
15	9913842.0	4822602.5	7992321.5	5585332.0	711.875	573.7	-1871176.4	1021981600.0	1016016100.0	49494260.0
16	6956555.0	5689878.0	7842009.5	5359064.5	499.3	562.8	-1780155.0	957009000.0	949672200.0	47348656.0
17	9967672.0	5604235.0	12652537.0	3817858.2	716.0	908.6	-1721574.9	944460700.0	934929150.0	44159320.0
18	9208478.0	6131123.0	11181894.0	4553143.0	661.125	802.4	-1665717.5	820681800.0	809834750.0	41597510.0
19	10075896.0	6091833.5	11579874.0	4048114.2	723.4286	831.1	-1611488.0	780225500.0	766513200.0	43269560.0
20	11719044.0	4954089.5	13127298.0	1659607.9	841.0	942.1	-1564217.4	686977150.0	670313100.0	42958000.0
21	8925495.0	4974197.0	8870510.0	5921401.5	641.1429	636.5	-1526010.0	623395140.0	602537700.0	41316652.0
22	13575888.0	705130.7	12573216.0	4060940.5	974.6	902.8	-1491755.1	648208400.0	622127600.0	47190256.0
23	13934562.0	3634.6	10729010.0	4903213.0	1000.0	770.5	-1460824.8	607959400.0	578116350.0	45903064.0
24	12302160.0	3313510.8	9892090.0	6172070.5	892.1667	710.0	-1433679.0	567051260.0	534929100.0	46083676.0
25	9839522.0	5022083.0	12291928.0	3939685.2	707.4286	904.0	-1409497.4	576681150.0	537381600.0	47241010.0
26	8658833.0	6207995.0	11063591.0	3702919.2	621.875	904.3	-1388972.1	562015400.0	519085150.0	45765476.0
27	11579949.0	4950255.0	13556062.0	1091246.1	839.5	973.8	-1371408.0	527621860.0	483129380.0	46563108.0
28	13880883.0	58709.562	11007232.0	5367757.0	1000.0	804.3	-1356012.9	525972320.0	478271400.0	47714350.0
29	12048061.0	2935912.0	10488024.0	5315447.0	903.8333	754.5	-1340379.4	471502660.0	426466720.0	47509492.0
