Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	13915334.0	8252.315	13940797.0	1499.0104	1000.0	1000.0	-407612.4	154800750.0	153192320.0	58704240.0
2	11803888.0	4191938.8	13519341.0	455810.34	849.2	1000.0	-3437915.5	3417034500.0	3397176000.0	910438140.0
3	13504344.0	393861.1	13727539.0	289366.62	1000.0	1000.0	-7887881.0	12253471000.0	12215912000.0	925174140.0
4	13671090.0	309345.6	13859608.0	83532.52	1000.0	1000.0	-7534179.0	6251980300.0	6245681700.0	328104300.0
5	13836026.0	85806.62	13899528.0	15266.162	1000.0	1000.0	-6494039.0	3400508700.0	3395845600.0	258832210.0
6	10902552.0	5031283.0	9737343.0	5572671.0	785.0	700.4	-5772171.0	2452888800.0	2445519600.0	223137260.0
7	7148961.5	5375697.5	8501322.0	5484832.5	513.4	610.9	-5029094.0	3550069000.0	3544291000.0	219941090.0
8	11743452.0	3247172.2	9768353.0	5028515.5	843.5	702.0	-4540549.5	3587426800.0	3581298400.0	150672930.0
9	12116439.0	3619606.0	8415366.0	6025844.0	870.0	604.5	-4182884.2	3356526800.0	3348897000.0	140128370.0
10	8286065.5	6025599.0	12073590.0	3718599.5	594.875	866.9	-3749757.5	2498131200.0	2493457700.0	120879040.0
11	11344456.0	4704867.0	12491192.0	4029314.0	814.5714	903.0	-3320315.5	1974467700.0	1971410800.0	110331750.0
12	13234406.0	1198719.9	10306404.0	5015223.0	955.8	740.0	-2972269.0	1706675300.0	1704648200.0	86489070.0
13	10129135.0	6013959.0	10940021.0	4400386.5	727.0	785.2	-2683767.2	1426448000.0	1425670700.0	76528870.0
14	10277467.0	5779261.5	11558635.0	4807126.0	737.7143	829.7	-2434416.0	1144006500.0	1143917400.0	67486630.0
15	9951786.0	5905670.5	12735316.0	2393692.0	714.1429	914.1	-2233093.5	872119400.0	872241340.0	57907990.0
16	11278131.0	3724099.2	13921981.0	14007.115	812.3333	1000.0	-2068189.6	797779500.0	798097800.0	55802428.0
17	11725433.0	4863975.5	11732816.0	4335013.5	843.5	842.2	-1935650.5	688525000.0	688938000.0	45757956.0
18	7187880.0	5516969.0	10972886.0	4676680.5	521.5	787.6	-1822632.0	671471940.0	671866750.0	45910490.0
19	9359225.0	5451083.5	9763635.0	5480963.5	671.7143	700.7	-1731865.6	591921500.0	591766300.0	43471492.0
20	9785150.0	5221083.5	12712649.0	3652261.5	702.7143	912.6	-1660494.1	611488450.0	610885060.0	40504350.0
21	13923811.0	7758.5615	13928392.0	6013.8213	1000.0	1000.0	-1602358.2	534475140.0	533994560.0	35987184.0
22	13379333.0	703819.6	13914693.0	11999.137	960.6	1000.0	-1555357.6	519637400.0	519320320.0	33420556.0
23	13919499.0	10273.572	13694890.0	516542.62	1000.0	983.2	-1519584.9	460317800.0	460065760.0	33579450.0
24	11754611.0	4845699.5	10249188.0	5660013.0	844.3333	735.7	-1492843.8	428766370.0	428741900.0	34180650.0
25	13924792.0	10425.863	12611556.0	3935481.2	1000.0	905.8	-1472879.0	395799040.0	395609730.0	30063276.0
26	10998730.0	4908963.5	12994046.0	2798870.2	790.5714	933.0	-1456131.9	415300320.0	415153950.0	32148256.0
27	12853706.0	2148727.2	11236494.0	5391938.5	922.8	806.5	-1444389.5	399114370.0	398930140.0	29701178.0
28	13672472.0	471289.22	11334811.0	5173140.5	1000.0	814.2	-1434550.9	342329700.0	342339800.0	29825804.0
29	13923776.0	11529.31	13925622.0	7111.7993	1000.0	1000.0	-1427229.9	357026430.0	356973800.0	29268702.0
