Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4674.3154	40.01907	4752.7227	4627.524	4682.934	1.9763674	4685.975	4679.9717	1000.0	1000.0	10000	105.15727	59.802986	270.39374	-87.09004	-105.905	7.7431436	89.1494083404541
2	4721.1934	4.3404083	4726.7793	4715.92	4683.538	2.185381	4686.5166	4680.1816	1000.0	1000.0	20000	264.10095	33.696625	410.45212	-32.59372	-264.45914	6.4769173	188.6875650882721
3	4722.7686	4.9737997	4728.6953	4712.1313	4683.4697	1.4683889	4686.276	4680.946	1000.0	1000.0	30000	349.3626	21.294968	649.03033	80.19572	-349.52774	7.6477227	288.3085618019104
4	4723.8594	4.387936	4729.8438	4715.7607	4682.5796	1.5573746	4685.7944	4680.1885	1000.0	1000.0	40000	400.50458	16.351166	677.9428	131.80685	-400.64505	6.3804173	388.19204545021057
5	4721.9443	4.13825	4727.122	4712.1255	4682.9688	1.6402489	4685.361	4679.0254	1000.0	1000.0	50000	431.16324	12.912148	740.2276	169.42755	-431.25284	6.2121477	487.4272768497467
6	4722.712	3.6162949	4728.302	4717.581	4683.827	2.270455	4686.73	4679.835	1000.0	1000.0	60000	449.86417	12.27236	658.9725	226.82115	-449.9668	5.548361	586.5218191146851
7	4723.84	5.0217285	4730.009	4712.5405	4682.1636	1.4276949	4684.4673	4680.0723	1000.0	1000.0	70000	461.12262	11.727656	679.4885	237.87015	-461.1908	5.2238064	686.4181213378906
8	4720.6245	3.593686	4730.1006	4717.713	4682.5693	2.0691884	4685.979	4679.161	1000.0	1000.0	80000	467.7532	11.090535	746.83673	255.18887	-467.83966	4.633353	785.8211081027985
9	4721.1553	5.1201897	4729.963	4713.8613	4682.4873	2.1670375	4685.755	4679.48	1000.0	1000.0	90000	471.67712	10.455559	681.06366	256.4743	-471.74664	4.711256	885.4254446029663
10	4721.251	5.9587736	4729.1045	4708.7104	4682.612	1.538246	4685.472	4680.078	1000.0	1000.0	100000	473.67224	9.652999	684.88007	201.52246	-473.718	4.008219	990.3573503494263
11	4720.6973	5.092427	4728.7183	4712.8906	4682.129	1.6827779	4685.861	4680.222	1000.0	1000.0	110000	474.8459	8.982334	776.9352	271.41647	-474.89725	4.244169	1096.7549285888672
12	4719.7764	4.7890196	4726.375	4711.431	4683.2456	2.292617	4686.0586	4679.5024	1000.0	1000.0	120000	475.4742	8.854799	723.57477	191.13509	-475.5379	4.2103724	1201.9254732131958
13	4723.4155	4.360125	4731.468	4717.63	4682.2305	2.1944828	4685.719	4679.266	1000.0	1000.0	130000	476.38715	9.046353	718.1272	161.75809	-476.44495	3.6497273	1308.8466050624847
14	4722.2827	4.110712	4727.3633	4713.769	4682.6924	2.4440134	4686.263	4679.584	1000.0	1000.0	140000	477.00272	8.478339	708.76416	143.8249	-477.0765	3.9786296	1414.670832157135
15	4723.888	4.8470407	4732.0728	4715.462	4683.684	1.7124429	4686.8086	4682.076	1000.0	1000.0	150000	477.86685	7.6470413	737.66144	262.4158	-477.9333	3.4701939	1521.2492706775665
16	4723.244	4.7063117	4730.1855	4713.857	4683.6973	2.424412	4686.272	4679.5503	1000.0	1000.0	160000	478.42145	7.099119	744.45886	81.7527	-478.4926	3.2742667	1638.0442056655884
17	4723.3	4.148917	4730.5107	4716.498	4682.6787	1.8703642	4685.3755	4679.851	1000.0	1000.0	170000	478.51874	6.3182225	744.1907	291.65118	-478.58536	2.660569	1752.315383195877
18	4720.551	5.2695084	4728.5947	4712.5503	4683.081	1.8196344	4686.308	4680.0684	1000.0	1000.0	180000	478.60593	5.555015	734.0767	223.25623	-478.67264	2.7052147	1867.547353029251
19	4722.224	4.4750767	4729.764	4716.2207	4682.504	1.1904302	4685.0986	4680.621	1000.0	1000.0	190000	478.68536	5.288861	656.2618	273.38614	-478.74594	2.620643	1984.8111357688904
20	4721.38	4.7007036	4728.2817	4711.2524	4682.946	1.8912827	4686.388	4680.0195	1000.0	1000.0	200000	478.4992	4.8540707	647.5038	260.21487	-478.56046	2.3361735	2100.0839591026306
21	4719.666	3.856958	4725.061	4711.4253	4683.5923	2.2977986	4687.207	4680.188	1000.0	1000.0	210000	478.58893	4.915165	657.03864	210.99731	-478.6485	2.4587982	2214.943479537964
22	4724.689	2.7419035	4731.35	4720.758	4682.95	2.2423108	4686.0767	4680.208	1000.0	1000.0	220000	478.42508	4.5684123	712.4964	224.2401	-478.47864	1.9407941	2329.9407889842987
23	4724.426	4.2332625	4731.2734	4717.8477	4683.9893	2.2358217	4686.7593	4680.095	1000.0	1000.0	230000	477.90237	4.517468	679.6104	240.7232	-477.94714	1.8894933	2443.4697523117065
24	4722.6445	3.4382672	4727.356	4715.3804	4682.115	2.1300573	4686.7393	4679.6714	1000.0	1000.0	240000	477.18582	4.6417027	614.2852	157.55441	-477.2349	1.749962	2557.610988378525
25	4723.541	4.076717	4728.9595	4716.7393	4683.483	2.262438	4686.926	4680.14	1000.0	1000.0	250000	477.28217	4.737383	614.87585	297.57358	-477.3269	1.7932396	2674.209330558777
26	4721.0625	3.5200796	4726.3687	4713.928	4683.72	2.1973534	4687.228	4680.341	1000.0	1000.0	260000	477.414	4.624064	584.37524	132.38771	-477.4622	1.6528082	2781.7826228141785
27	4724.664	3.5443535	4730.229	4719.6387	4682.2544	2.141761	4686.2646	4679.625	1000.0	1000.0	270000	477.24698	4.4703817	660.39215	298.58865	-477.2858	1.8015232	2890.7227630615234
