Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4631.5044	44.29199	4699.8164	4558.2354	4481.952	2.6507761	4487.3716	4477.8354	1000.0	1000.0	10000	121.03752	55.97519	314.07657	-137.11433	-121.67659	15.240158	95.25913333892822
2	4529.7017	31.348053	4577.269	4490.134	4483.45	1.7037007	4485.536	4481.306	1000.0	1000.0	20000	264.09296	26.720568	603.618	83.353966	-264.0453	8.86507	190.9624617099762
3	4513.8867	20.790352	4546.455	4475.154	4482.38	2.4617548	4485.562	4479.1147	1000.0	1000.0	30000	333.29395	17.363827	674.3837	117.14933	-333.12805	6.0168467	288.44131994247437
4	4510.13	62.68505	4566.837	4339.9766	4480.5547	3.0533328	4486.1436	4475.394	1000.0	1000.0	40000	374.66895	13.665972	535.293	160.91502	-374.5008	4.5268483	384.66024112701416
5	4536.7812	37.079235	4581.9976	4464.219	4483.503	2.1178267	4486.7407	4478.808	1000.0	1000.0	50000	400.82205	12.944636	481.228	197.93959	-400.67953	4.0790596	480.99039816856384
6	4522.2896	29.082556	4575.7466	4476.684	4484.056	3.031208	4490.248	4478.769	1000.0	1000.0	60000	418.3096	12.6157675	503.3657	250.54387	-418.21396	4.4243674	577.1587996482849
7	4510.6733	17.36361	4535.957	4486.04	4483.988	3.1683934	4488.313	4478.6035	1000.0	1000.0	70000	430.67148	12.27233	522.681	279.73108	-430.6201	3.84754	673.9000723361969
8	4520.76	29.161522	4571.2803	4486.0845	4480.081	2.3329377	4485.831	4476.77	1000.0	1000.0	80000	439.46973	12.300701	595.63513	208.61823	-439.4438	3.8850172	770.4364311695099
9	4534.9756	25.299952	4569.4985	4496.6353	4481.748	2.9151466	4488.5103	4477.9336	1000.0	1000.0	90000	446.18262	12.419023	551.3925	255.92128	-446.1812	3.6188555	870.0024518966675
10	4528.8174	38.43249	4588.29	4478.485	4482.1533	2.9131875	4486.2275	4476.898	1000.0	1000.0	100000	451.0612	12.310054	521.2957	315.2342	-451.07214	3.079464	973.2460017204285
11	4521.674	35.976048	4577.739	4443.514	4482.1626	3.2874188	4487.3013	4475.5444	1000.0	1000.0	110000	453.8522	12.173769	559.02216	282.02533	-453.8611	3.0237424	1074.777355670929
12	4531.826	31.4641	4567.8506	4459.174	4480.9253	2.7366328	4485.0723	4476.834	1000.0	1000.0	120000	455.92615	11.86486	555.25165	273.59637	-455.9489	2.993186	1176.0891606807709
13	4518.7695	35.69252	4575.2144	4463.9604	4482.992	1.9177034	4485.7017	4480.0884	1000.0	1000.0	130000	457.07776	11.669819	509.88104	329.55185	-457.0897	2.8228722	1279.5031626224518
14	4531.5933	29.152666	4569.5127	4484.275	4482.5	2.1148255	4486.275	4478.8115	1000.0	1000.0	140000	457.4411	11.703	527.6116	301.97388	-457.4564	2.8543699	1382.812664270401
15	4515.002	26.966461	4556.7197	4476.9287	4481.164	3.8433096	4486.3433	4472.0015	1000.0	1000.0	150000	457.7614	11.502959	669.5792	307.44012	-457.7726	2.6797981	1490.1454818248749
16	4514.3022	30.982624	4557.0576	4445.6934	4481.5845	2.644823	4485.504	4476.8906	1000.0	1000.0	160000	457.78992	11.689267	548.18506	353.6706	-457.8046	2.6872988	1601.9227087497711
17	4539.8076	34.14225	4593.925	4482.8696	4483.337	2.0750227	4487.8	4481.087	1000.0	1000.0	170000	457.90433	11.793551	519.2906	354.41974	-457.9204	2.5263653	1712.1162827014923
18	4513.0986	26.358885	4568.383	4475.4287	4483.8447	4.218336	4489.218	4475.508	1000.0	1000.0	180000	458.05444	12.148337	490.1638	322.49	-458.0688	2.568785	1822.072201013565
19	4514.941	26.359215	4560.4116	4475.695	4483.0913	2.6482658	4486.6685	4477.6167	1000.0	1000.0	190000	457.73233	12.774921	503.7891	333.86337	-457.7367	2.514443	1932.0366849899292
20	4523.093	41.166492	4571.035	4418.81	4481.692	2.0251594	4484.463	4478.45	1000.0	1000.0	200000	457.45068	13.028129	486.41965	356.00833	-457.45474	2.4794776	2042.413138628006
21	4531.369	30.805416	4591.104	4490.9907	4483.916	3.6245952	4489.8057	4479.6504	1000.0	1000.0	210000	457.31363	12.88493	523.238	305.50415	-457.32855	2.432527	2154.310828924179
22	4525.6343	38.052372	4586.55	4441.9434	4481.1787	2.435601	4485.3403	4477.3794	1000.0	1000.0	220000	457.60248	12.72549	490.33185	343.3062	-457.6129	2.3815212	2263.6115369796753
23	4514.6997	27.135239	4562.309	4465.142	4485.2017	1.8852036	4488.2466	4482.275	1000.0	1000.0	230000	457.53665	13.026309	496.59604	345.25098	-457.5544	2.2671766	2371.355447292328
24	4514.096	36.01662	4574.41	4468.957	4483.1875	2.1445756	4486.8135	4478.258	1000.0	1000.0	240000	457.87173	13.115814	508.16177	360.0316	-457.8888	2.377102	2481.1258788108826
25	4516.236	32.631565	4582.4097	4474.793	4482.3057	3.0105762	4486.0166	4476.9917	1000.0	1000.0	250000	458.01413	13.173996	494.62335	355.67987	-458.0362	2.225022	2594.3620755672455
26	4530.702	47.448406	4582.77	4442.2793	4483.6074	2.0098302	4486.8486	4479.9595	1000.0	1000.0	260000	458.20914	13.0549755	495.34064	361.06216	-458.23526	2.301231	2697.768735408783
27	4514.4346	29.064342	4557.1187	4460.3765	4482.9775	1.9686666	4485.906	4479.32	1000.0	1000.0	270000	458.45978	13.247244	489.24078	349.53394	-458.48505	2.263062	2801.2693495750427
28	4503.1855	44.979298	4573.8584	4393.3545	4482.52	1.819833	4486.6616	4480.5225	1000.0	1000.0	280000	458.63947	13.432295	536.93243	291.1172	-458.67035	2.3647585	2904.8710746765137
29	4533.699	30.194891	4567.439	4459.86	4480.786	2.53286	4485.2153	4476.798	1000.0	1000.0	290000	458.90115	13.58702	499.10596	303.08536	-458.9332	2.3187726	3011.4683408737183
