Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	LossPi	LossQ1	LossQ2	LossV
1	8496706.0	501275.56	13942739.0	1.0	1000.0	1000.0	-41513.754	73162890.0	79441010.0	628157.75
2	7936353.0	294788.78	4876709.5	6006.678	1000.0	1000.0	-212436.78	460137470.0	495532060.0	5590409.0
3	9423082.0	2725360.2	6386711.5	10385.247	1000.0	1000.0	-501016.62	1449234400.0	1540270300.0	20654686.0
4	6283011.0	3437992.8	11541252.0	5076.808	1000.0	1000.0	-837840.56	2783261700.0	2900654800.0	30602386.0
5	7505390.5	3718687.8	4861800.0	6394.6104	1000.0	1000.0	-1159581.1	3594318800.0	3681290200.0	26732136.0
6	5423087.0	2029928.8	6892990.5	2116718.2	1000.0	1000.0	-1382390.8	4239850800.0	4286851300.0	16251529.0
7	7421293.5	2474584.2	7235550.5	1473984.0	1000.0	1000.0	-1501436.6	4120472800.0	4157889000.0	10071800.0
8	5478223.0	3290914.5	11544379.0	7066.809	1000.0	1000.0	-1551878.1	3880195000.0	3922652000.0	8248068.5
9	9658697.0	3851420.5	4065012.8	1749396.1	1000.0	1000.0	-1548515.9	3347228400.0	3387928600.0	6881227.5
10	8900594.0	3628650.2	11540232.0	3473.2927	1000.0	1000.0	-1536740.5	3065861600.0	3105214200.0	6516015.0
11	11539886.0	2514.0554	11541639.0	4348.559	1000.0	1000.0	-1518641.1	2645564000.0	2679404800.0	5968214.5
12	11544448.0	8790.886	9503551.0	4120704.2	1000.0	1000.0	-1485616.4	2160626700.0	2189750800.0	5553087.0
13	10579669.0	2052049.1	11541098.0	4150.971	1000.0	1000.0	-1452885.9	1808834400.0	1834035600.0	5195090.0
14	11553518.0	8497.097	11544202.0	6879.487	1000.0	1000.0	-1412924.9	1522627200.0	1545926400.0	5017402.0
15	11575283.0	66637.0	11546572.0	10302.26	1000.0	1000.0	-1395390.5	1308123500.0	1329243100.0	4649740.0
